sample,codec,bits,reference_gap,method,total_frames,keyframe_count,middle_count,anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/car-shadow,q12,12,16,adapter,40,4,36,0.06855964660644531,18.44129766838021,17.180835828273757,29.785454229338235,0.5065013244748116,0.46091097593307495,0.916814461350441
DAVIS/val/car-shadow,q16,16,4,dense_direct,40,11,29,0.25138082504272463,29.90829758795245,29.914596595559264,29.89169111335266,0.9254995629191398,0.9262402345394266,0.9235468831929293
DAVIS/val/car-shadow,q16,16,4,linear,40,11,29,0.25138082504272463,21.45771818951986,18.258625011514315,29.89169111335266,0.6185599632561207,0.5028752694869864,0.9235468831929293
DAVIS/val/car-shadow,q16,16,4,adapter,40,11,29,0.25138082504272463,21.980979720089476,18.980365053679304,29.89169111335266,0.6418660797178746,0.5350216370204399,0.9235468831929293
DAVIS/val/car-shadow,q16,16,8,dense_direct,40,6,34,0.13711681365966796,29.90829758795245,29.925151363895985,29.812792857605757,0.9254995629191398,0.926335475024055,0.9207627276579539
DAVIS/val/car-shadow,q16,16,8,linear,40,6,34,0.13711681365966796,19.091664887946603,17.199701128594995,29.812792857605757,0.5220353558659554,0.45167170202030854,0.9207627276579539
DAVIS/val/car-shadow,q16,16,8,adapter,40,6,34,0.13711681365966796,19.658743419191058,17.866852341823762,29.812792857605757,0.5537625662982464,0.48899783194065094,0.9207627276579539
DAVIS/val/car-shadow,q16,16,16,dense_direct,40,4,36,0.09141120910644532,29.90829758795245,29.91891631512248,29.812729043422117,0.9254995629191398,0.92633089919885,0.9180175364017487
DAVIS/val/car-shadow,q16,16,16,linear,40,4,36,0.09141120910644532,17.906714893385956,16.58382443227083,29.812729043422117,0.4697012722492218,0.41988835401005214,0.9180175364017487
DAVIS/val/car-shadow,q16,16,16,adapter,40,4,36,0.09141120910644532,18.44356674305267,17.18032648745607,29.812729043422117,0.5066618785262108,0.4609556943178177,0.9180175364017487
DAVIS/val/goat,float32,32,4,dense_direct,90,24,66,0.4875132242838542,27.40747672376202,27.415050799188943,27.386648016337983,0.8837071769767337,0.8838128673307823,0.8834165285031
DAVIS/val/goat,float32,32,4,linear,90,24,66,0.4875132242838542,19.791223672450144,17.029251183763662,27.386648016337983,0.3515520008073913,0.15814671800895172,0.8834165285031
DAVIS/val/goat,float32,32,4,adapter,90,24,66,0.4875132242838542,20.36492746141573,17.81157453235309,27.386648016337983,0.37975094790259994,0.19659982768423628,0.8834165285031
DAVIS/val/goat,float32,32,8,dense_direct,90,13,77,0.26406966315375435,27.40747672376202,27.417497662993874,27.34812192985028,0.8837071769767337,0.883839755089252,0.8829219066179715
DAVIS/val/goat,float32,32,8,linear,90,13,77,0.26406966315375435,17.749092370855593,16.128476990765584,27.34812192985028,0.23479549930327467,0.1253715604059882,0.8829219066179715
DAVIS/val/goat,float32,32,8,adapter,90,13,77,0.26406966315375435,18.32540689019295,16.80209136401704,27.34812192985028,0.2634364672833019,0.15884801648653946,0.8829219066179715
DAVIS/val/goat,float32,32,16,dense_direct,90,7,83,0.1421913570827908,27.40747672376202,27.413904454692297,27.331262199874566,0.8837071769767337,0.8838015758847616,0.8825878756386893
DAVIS/val/goat,float32,32,16,linear,90,7,83,0.1421913570827908,16.40044695393611,15.478570969338893,27.331262199874566,0.16544872224330903,0.10496710689671068,0.8825878756386893
DAVIS/val/goat,float32,32,16,adapter,90,7,83,0.1421913570827908,16.92094163734244,16.042962794719255,27.331262199874566,0.1925075432492627,0.13430799714413033,0.8825878756386893
DAVIS/val/goat,q8,8,4,dense_direct,90,24,66,0.12188822428385417,25.05004553266235,25.054283442777628,25.038391279845314,0.8022791829374102,0.8023790446194735,0.8020045633117358
DAVIS/val/goat,q8,8,4,linear,90,24,66,0.12188822428385417,19.153657725977755,17.01375461548046,25.038391279845314,0.3262928768992424,0.15330680911288116,0.8020045633117358
DAVIS/val/goat,q8,8,4,adapter,90,24,66,0.12188822428385417,19.73679707382765,17.80894463527577,25.038391279845314,0.35683985782994165,0.19496178310928922,0.8020045633117358
DAVIS/val/goat,q8,8,8,dense_direct,90,13,77,0.06602278815375434,25.05004553266235,25.06246176128526,24.976503255434313,0.8022791829374102,0.8026379517146519,0.8001541678722088
DAVIS/val/goat,q8,8,8,linear,90,13,77,0.06602278815375434,17.403143137809028,16.124523897171,24.976503255434313,0.21938900388777255,0.12133774243585475,0.8001541678722088
DAVIS/val/goat,q8,8,8,adapter,90,13,77,0.06602278815375434,17.986255403638253,16.806083688399962,24.976503255434313,0.2504380212061935,0.1576288016392039,0.8001541678722088
DAVIS/val/goat,q8,8,16,dense_direct,90,7,83,0.0355507320827908,25.05004553266235,25.058883852749666,24.945248308769873,0.8022791829374102,0.8025633829185762,0.7989093831607273
DAVIS/val/goat,q8,8,16,linear,90,7,83,0.0355507320827908,16.217413900960498,15.48133148102477,24.945248308769873,0.15615063615971142,0.10194206713552935,0.7989093831607273
DAVIS/val/goat,q8,8,16,adapter,90,7,83,0.0355507320827908,16.74081067318615,16.048870149703188,24.945248308769873,0.18528800797131326,0.13353680765413375,0.7989093831607273
DAVIS/val/goat,q12,12,4,dense_direct,90,24,66,0.18282572428385416,27.384890736298313,27.392366659270433,27.36433194812498,0.8829854971832699,0.883093493454384,0.882688507437706
