task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00022415,breakdance,q12,8,44,stage65_adapter,0.1,6,3686,43381,35241,0.04137134552001953,0.033608436584472656,0.8123602498789793,8140,30,63,2281,32867,0.0,17.25440413297806,20.315682855131683,3.0612787221536237
stage79_00023500,car-shadow,q12,8,21,linear,0.1,6,3686,43381,30535,0.04137134552001953,0.029120445251464844,0.703879578617367,12846,30,50,2360,28095,0.0,16.631985518957727,20.805483074948732,4.1734975559910055
stage79_00023500,car-shadow,q12,8,21,stage65_adapter,0.1,6,3686,43381,35798,0.04137134552001953,0.03413963317871094,0.8251999723381204,7583,30,63,2431,33274,0.0,17.183721292658287,21.46309924307011,4.279377950411824
stage79_00025609,drift-straight,q12,8,39,linear,0.1,6,3686,43381,30358,0.04137134552001953,0.028951644897460938,0.6997994513727208,13023,30,50,2197,28081,0.0,13.467646755331872,16.796105228150946,3.328458472819074
stage79_00025609,drift-straight,q12,8,39,stage65_adapter,0.1,6,3686,43381,35504,0.04137134552001953,0.0338592529296875,0.8184228118300638,7877,30,63,2255,33156,0.0,13.723115790019872,17.207788865570745,3.484673075550873
stage79_00025039,dogs-jump,q12,4,61,linear,0.1,6,3686,43381,28658,0.04137134552001953,0.027330398559570312,0.6606117885710334,14723,30,50,2154,26424,0.0,27.357071942045614,31.727223021509857,4.370151079464243
stage79_00025039,dogs-jump,q12,4,61,stage65_adapter,0.1,6,3686,43381,29368,0.04137134552001953,0.02800750732421875,0.6769784006823264,14013,30,61,2397,26880,0.0,27.122889749925413,29.01639047350626,1.8935007235808463
stage79_00026688,horsejump-high,q12,8,27,linear,0.1,6,3686,43381,30863,0.04137134552001953,0.029433250427246094,0.7114404923814573,12518,30,50,2546,28237,0.0,15.660817303154108,19.267382258240453,3.606564955086345
stage79_00026688,horsejump-high,q12,8,27,stage65_adapter,0.1,6,3686,43381,36164,0.04137134552001953,0.034488677978515625,0.8336368456236601,7217,30,61,2629,33444,0.0,16.109569027557384,19.866488859165663,3.756919831608279
stage79_00021974,bmx-trees,q12,8,15,linear,0.1,6,3686,43381,30877,0.04137134552001953,0.02944660186767578,0.7117632143104123,12504,30,51,2486,28310,0.0,16.67714083685674,19.486446264000264,2.8093054271435243
stage79_00021974,bmx-trees,q12,8,15,stage65_adapter,0.1,6,3686,43381,35772,0.04137134552001953,0.034114837646484375,0.8246006316129181,7609,30,61,2646,33035,0.0,17.0329326415823,19.89031182592795,2.8573791843456497
