task_id,sequence,gap,left_index,target_index,right_index,normalized_time,vote_count,selector_score,selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,rgb_motion_proxy_score,rgb_mad_linear_interp_target,rgb_mad_left_right,edge_mad_left_right,hist_chi_left_right
stage79_00021633,blackswan,8,16,23,24,0.875,0,0.46050420168067224,0,0,1,30.283530221824208,0.15252235531806946,224272.0,0.25079057009079625,0.06214197352528572,0.10891617089509964,0.2326265424489975,0.005133465984036967
stage79_00030018,pigs,4,20,23,24,0.75,0,0.1260504201680672,0,0,0,31.36043698642147,0.15658222138881683,172214.0,0.10832653686017528,0.017297344282269478,0.044416215270757675,0.1441817432641983,0.0011027116186771726
stage79_00022333,breakdance,4,24,25,28,0.25,0,0.2134453781512605,0,1,0,25.713629052613758,0.16875958442687988,121358.0,0.14995375552390947,0.03610362857580185,0.0613861083984375,0.15916912257671356,0.001687833284271377
stage79_00021925,bmx-trees,4,28,31,32,0.75,2,2.5949579831932774,1,0,1,32.86590796679897,0.09377079457044601,243465.0,0.3158695834965661,0.11153624206781387,0.14146815240383148,0.21542009711265564,0.007393837880634406
stage79_00028560,mbike-trick,8,0,6,8,0.75,0,0.19327731092436973,0,0,0,29.778761971140373,0.21018794178962708,182121.0,0.10910596206570812,0.02838318981230259,0.04165381193161011,0.13493134081363678,0.0055134033512558335
stage79_00026368,gold-fish,8,0,2,8,0.25,0,0.2504201680672269,0,0,0,33.516296096969164,0.07747763395309448,213123.0,0.16844039053748472,0.03523595631122589,0.07855982333421707,0.14970746636390686,0.0030787820919576762
stage79_00030345,scooter-black,8,8,10,16,0.25,5,5.882352941176471,1,1,1,25.139113673960868,0.20580781996250153,223623.0,0.4193970128353411,0.12455920875072479,0.17495033144950867,0.3998771011829376,0.04033162649446919
stage79_00025302,drift-chicane,4,20,21,24,0.25,0,0.11932773109243697,0,0,0,31.467856421335412,0.1780705749988556,149638.0,0.032448501171651864,0.005688813049346209,0.016265805810689926,0.027781831100583076,0.012229553807117748
stage79_00029575,parkour,4,32,34,36,0.5,2,2.59327731092437,1,0,1,29.05003457774736,0.20909008383750916,225453.0,0.269788743479139,0.08997777849435806,0.11587141454219818,0.23807169497013092,0.016471512425582535
stage79_00030547,shooting,8,8,9,16,0.125,4,4.8504201680672265,1,0,1,34.752288745339,0.12255455553531647,233898.0,0.47049307696407905,0.11539704352617264,0.2297636717557907,0.2757672965526581,0.22868128854619338
stage79_00028201,loading,4,32,35,36,0.75,4,4.768067226890756,1,0,1,29.126260892317024,0.1289375126361847,231286.0,0.38607323609753363,0.09842022508382797,0.1738298088312149,0.3526069223880768,0.010583989783042402
stage79_00026663,horsejump-high,4,44,46,48,0.5,0,0.4050420168067227,0,0,1,27.626824875422624,0.15468835830688477,220517.0,0.23077666031352853,0.0669003576040268,0.09664682298898697,0.25868186354637146,0.002343969575739557
stage79_00023187,car-roundabout,4,28,29,32,0.25,2,2.635294117647059,1,0,1,27.663026726106743,0.14895430207252502,222153.0,0.32369640689423446,0.08529341220855713,0.1388259083032608,0.31797486543655396,0.006117891600491931
stage79_00025922,goat,4,44,46,48,0.5,4,4.650420168067227,1,0,1,27.28725091241753,0.1750091165304184,251693.0,0.3601530471219866,0.11123877763748169,0.1504921168088913,0.34485840797424316,0.0011073179468381678
stage79_00025540,drift-straight,4,0,2,4,0.5,4,4.862184873949579,1,0,1,31.210591956485423,0.1128348708152771,253474.0,0.4805633893169282,0.15467698872089386,0.21855494379997253,0.4212750494480133,0.010856445206384489
stage79_00023512,car-shadow,8,32,35,39,0.42857142857142855,2,2.6436974789915966,1,0,1,29.85347333277717,0.14318694174289703,235640.0,0.28155689851091775,0.08358962088823318,0.11661244928836823,0.3075598180294037,0.01868249540177554
stage79_00027283,judo,8,16,18,24,0.25,0,0.16470588235294117,0,0,0,31.248461531777757,0.1791778951883316,106418.0,0.08227968696749947,0.018824413418769836,0.037903960794210434,0.05486374720931053,0.009073704726241175
stage79_00024994,dogs-jump,4,0,1,4,0.25,0,0.10084033613445378,0,0,0,31.942406268838912,0.1399083137512207,150425.0,0.0718188203270769,0.010324286296963692,0.030014239251613617,0.09303373098373413,0.00378332431650022
stage79_00027011,india,4,72,73,76,0.25,0,0.4050420168067227,0,0,0,33.077209537986654,0.09934594482183456,212824.0,0.23818572319677322,0.05945088341832161,0.10657808929681778,0.2221427857875824,0.0033751946000761396
stage79_00025345,drift-chicane,8,16,23,24,0.875,0,0.1327731092436975,0,0,0,31.50854472136949,0.17163248360157013,104667.0,0.052826117081074805,0.005699185188859701,0.027356013655662537,0.037183113396167755,0.010920531067142367
stage79_00028812,motocross-jump,4,20,23,24,0.75,4,4.8957983193277315,1,1,1,32.663031483960296,0.265142023563385,241694.0,0.5686671204134901,0.17078649997711182,0.2829535901546478,0.2526096701622009,0.3203041033454726
stage79_00022787,camel,4,44,47,48,0.75,1,1.3798319327731092,1,1,1,25.6279590122115,0.18633119761943817,230502.0,0.23633191844162818,0.05959219112992287,0.09412878006696701,0.2795056700706482,0.0005004160975187888
stage79_00030097,pigs,8,40,44,48,0.5,0,0.3680672268907563,0,0,1,32.36086746918035,0.17234298586845398,232006.0,0.19286412510883796,0.05872313305735588,0.08672386407852173,0.1768590658903122,0.00910921753643766
