schedule,sequence,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,total_payload_bytes_without_global_metadata,total_mib_per_frame_without_global_metadata
uniform_gap4,dance-twirl,90,24,66,17268299.0,0.1829814804924859,14088315.0,0.14928515752156576,31356614.0,0.33226663801405165
uniform_gap4,dog,60,16,44,11512134.0,0.18298044204711914,10196006.0,0.1620611508687337,21708140.0,0.34504159291585285
uniform_gap4,dogs-jump,66,18,48,12951257.0,0.18714062372843424,6956207.0,0.1005144841743238,19907464.0,0.28765510790275806
uniform_gap4,drift-chicane,52,14,38,10073021.0,0.1847381041600154,4573086.0,0.08386989740224984,14646107.0,0.2686080015622653
uniform_gap4,drift-straight,50,14,36,10073152.0,0.192130126953125,9040680.0,0.17243728637695313,19113832.0,0.36456741333007814
uniform_gap4,goat,90,24,66,17268192.0,0.1829803466796875,16203839.0,0.17170205646091038,33472031.0,0.35468240314059785
uniform_gap4,gold-fish,78,21,57,15109610.0,0.1847390639476287,11429333.0,0.1397418119968512,26538943.0,0.32448087594447994
uniform_gap4,horsejump-high,50,14,36,10073189.0,0.19213083267211914,7581692.0,0.14460929870605468,17654881.0,0.3367401313781738
uniform_gap4,india,81,21,60,15109626.0,0.1778970647741247,13467564.0,0.15856382581922743,28577190.0,0.33646089059335216
uniform_gap4,judo,34,10,24,7195174.0,0.20181919546688304,2695784.0,0.07561470480526195,9890958.0,0.277433900272145
uniform_gap4,kite-surf,50,14,36,10073165.0,0.19213037490844725,7843387.0,0.14960073471069335,17916552.0,0.3417311096191406
uniform_gap4,lab-coat,47,13,34,9353600.0,0.1897933635305851,7639711.0,0.15501693969077252,16993311.0,0.34481030322135764
uniform_gap4,libby,49,13,36,9353693.0,0.1820485056663046,9127791.0,0.17765183351477798,18481484.0,0.3597003391810826
uniform_gap4,loading,50,14,36,10073205.0,0.1921311378479004,8170825.0,0.15584611892700195,18244030.0,0.3479772567749023
uniform_gap4,mbike-trick,79,21,58,15109746.0,0.1824022365521781,10249893.0,0.12373493291154693,25359639.0,0.30613716946372505
uniform_gap4,motocross-jump,40,11,29,7914650.0,0.18869996070861816,6683453.0,0.15934593677520753,14598103.0,0.3480458974838257
uniform_gap4,paragliding-launch,80,21,59,15109633.0,0.18012086153030396,12569152.0,0.14983596801757812,27678785.0,0.3299568295478821
uniform_gap4,parkour,100,26,74,18707211.0,0.1784058666229248,16608018.0,0.15838640213012695,35315229.0,0.33679226875305174
uniform_gap4,pigs,79,21,58,15109569.0,0.1824000998388363,10857658.0,0.13107176672054244,25967227.0,0.3134718665593787
uniform_gap4,scooter-black,43,12,31,8634174.0,0.19149279039959574,7270243.0,0.16124288425889127,15904417.0,0.352735674658487
uniform_gap4,shooting,40,11,29,7914693.0,0.1887009859085083,6766003.0,0.16131408214569093,14680696.0,0.35001506805419924
uniform_gap4,soapbox,99,26,73,18707283.0,0.18020863966508346,16752637.0,0.1613793902926975,35459920.0,0.3415880299577809
uniform_gap8,bike-packing,69,10,59,7195184.0,0.09944727800894475,10684810.0,0.14767867931421252,17879994.0,0.24712595732315726
uniform_gap8,blackswan,50,8,42,5756171.0,0.10979024887084961,9871647.0,0.18828672409057617,15627818.0,0.29807697296142577
uniform_gap8,bmx-trees,80,11,69,7914688.0,0.09435043334960938,17028041.0,0.20299006700515748,24942729.0,0.29734050035476683
uniform_gap8,breakdance,84,12,72,8634216.0,0.09802654811314174,10361686.0,0.11763897396269299,18995902.0,0.21566552207583473
uniform_gap8,camel,90,13,77,9353667.0,0.09911502202351888,18102158.0,0.19181736840142144,27455825.0,0.29093239042494035
uniform_gap8,car-roundabout,75,11,64,7914694.0,0.10064053853352864,14907626.0,0.18956026713053387,22822320.0,0.2902008056640625
uniform_gap8,car-shadow,40,6,34,4317168.0,0.10292930603027343,7635811.0,0.1820519208908081,11952979.0,0.2849812269210815
uniform_gap8,cows,104,14,90,10073192.0,0.09237062014066257,20238562.0,0.18558650750380296,30311754.0,0.2779571276444655
uniform_gap8,dance-twirl,90,13,77,9353733.0,0.09911572138468425,16803020.0,0.17805120680067274,26156753.0,0.277166928185357
uniform_gap8,dog,60,9,51,6475625.0,0.10292728741963704,12065794.0,0.19178063074747723,18541419.0,0.2947079181671143
uniform_gap8,dogs-jump,66,10,56,7195210.0,0.10396798451741536,8783186.0,0.1269136197639234,15978396.0,0.23088160428133878
uniform_gap8,drift-chicane,52,8,44,5756064.0,0.10556558462289664,5324455.0,0.09764992273770846,11080519.0,0.2032155073606051
uniform_gap8,drift-straight,50,8,42,5756141.0,0.10978967666625977,10618904.0,0.20253952026367186,16375045.0,0.31232919692993166
uniform_gap8,goat,90,13,77,9353679.0,0.0991151491800944,19057123.0,0.20193654166327582,28410802.0,0.30105169084337025
uniform_gap8,gold-fish,78,11,67,7914615.0,0.09676878268902118,13913162.0,0.17011058024871042,21827777.0,0.2668793629377316
