target_key,category,sequence,target_index,schedule,final_type,row_source,psnr,ssim,ms_ssim,lpips,payload_bytes,status_note
camel:00051,positive_promoted_extension,camel,51,stage165_adaptive,q12_target_keyframe,stage168,25.600132613179596,0.8042654991149902,0.9819626808166504,0.18335258960723877,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
camel:00051,positive_promoted_extension,camel,51,uniform_gap4,middle_recovery,stage168,25.53339946053153,0.8007097244262695,0.979963481426239,0.18961508572101593,225503.0,Stage174 rendered/reused middle recovery
camel:00075,positive_promoted,camel,75,uniform_gap8,middle_recovery,stage170,25.335479237043415,0.7892621159553528,0.9782888889312744,0.1993795931339264,244271.0,Stage174 rendered/reused middle recovery
camel:00075,positive_promoted,camel,75,stage165_adaptive,q12_target_keyframe,stage170,25.397419219921126,0.7929010391235352,0.9805324077606201,0.1921868622303009,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
camel:00075,positive_promoted,camel,75,uniform_gap4,middle_recovery,stage170,25.347832098161827,0.7896723747253418,0.9786298274993896,0.1988976001739502,209494.0,Stage174 rendered/reused middle recovery
car-roundabout:00029,positive_promoted,car-roundabout,29,uniform_gap8,middle_recovery,stage170,27.358873991637168,0.8846953511238098,0.9866604804992676,0.16709744930267334,238748.0,Stage174 rendered/reused middle recovery
car-roundabout:00029,positive_promoted,car-roundabout,29,stage165_adaptive,q12_target_keyframe,stage170,27.788394820546216,0.9029920697212219,0.9908003211021423,0.13082319498062134,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
car-roundabout:00029,positive_promoted,car-roundabout,29,uniform_gap4,middle_recovery,stage170,27.663026726106743,0.8953476548194885,0.9882344007492065,0.14895430207252502,222153.0,Stage174 rendered/reused middle recovery
car-roundabout:00059,positive_promoted,car-roundabout,59,uniform_gap8,middle_recovery,stage170,25.83436466326493,0.8735002875328064,0.9850653409957886,0.16122722625732422,243263.0,Stage174 rendered/reused middle recovery
car-roundabout:00059,positive_promoted,car-roundabout,59,stage165_adaptive,q12_target_keyframe,stage170,26.08171852522942,0.8870430588722229,0.9886817932128906,0.13702422380447388,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
car-roundabout:00059,positive_promoted,car-roundabout,59,uniform_gap4,middle_recovery,stage170,25.98485821152527,0.880132257938385,0.9862064123153687,0.1529761403799057,224613.0,Stage174 rendered/reused middle recovery
cows:00019,positive_promoted,cows,19,uniform_gap8,middle_recovery,stage170,24.683578335685752,0.7718524932861328,0.9754337072372437,0.20931853353977203,238528.0,Stage174 rendered/reused middle recovery
cows:00019,positive_promoted,cows,19,stage165_adaptive,q12_target_keyframe,stage170,24.745207711863518,0.7758738994598389,0.9773591160774231,0.203828826546669,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
cows:00019,positive_promoted,cows,19,uniform_gap4,middle_recovery,stage170,24.70318608724209,0.7733585238456726,0.975851833820343,0.20844119787216187,225030.0,Stage174 rendered/reused middle recovery
cows:00042,positive_promoted_extension,cows,42,uniform_gap8,middle_recovery,stage174_rendered,24.676416846228694,0.7653282284736633,0.9749327301979065,0.21696004271507263,215843.0,Stage174 rendered/reused middle recovery
cows:00042,positive_promoted_extension,cows,42,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,24.803061292307227,0.7723533511161804,0.9775480628013611,0.20999354124069214,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
cows:00042,positive_promoted_extension,cows,42,uniform_gap4,middle_recovery,stage174_rendered,24.57382531762606,0.7601264119148254,0.9739313721656799,0.2170761227607727,211346.0,Stage174 rendered/reused middle recovery
cows:00060,positive_promoted,cows,60,uniform_gap8,middle_recovery,stage170,24.68471859771818,0.7651322484016418,0.9746426343917847,0.20881597697734833,231584.0,Stage174 rendered/reused middle recovery
cows:00060,positive_promoted,cows,60,stage165_adaptive,q12_target_keyframe,stage170,24.83721590775727,0.7746913433074951,0.9775350093841553,0.20389516651630402,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
cows:00060,positive_promoted,cows,60,uniform_gap4,q12_target_keyframe,stage170,24.83721590775727,0.7746913433074951,0.9775350093841553,0.20389516651630402,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
dance-twirl:00066,false_negative_residual,dance-twirl,66,uniform_gap8,middle_recovery,stage170,26.210709813221435,0.7946869730949402,0.9789363741874695,0.26627326011657715,200324.0,Stage174 rendered/reused middle recovery
dance-twirl:00066,false_negative_residual,dance-twirl,66,stage165_adaptive,middle_recovery,stage170,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197156.0,Stage174 rendered/reused middle recovery
dance-twirl:00066,false_negative_residual,dance-twirl,66,uniform_gap4,middle_recovery,stage170,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197156.0,Stage174 rendered/reused middle recovery
dance-twirl:00068,positive_promoted_extension,dance-twirl,68,uniform_gap8,middle_recovery,stage174_rendered,26.483361587273105,0.7961500287055969,0.977317214012146,0.2708978056907654,212763.0,Stage174 rendered/reused middle recovery
dance-twirl:00068,positive_promoted_extension,dance-twirl,68,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,27.017210746533372,0.8219904899597168,0.983790934085846,0.22935819625854492,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
