sample,codec,bits,frame_gap,method,total_frames,keyframe_count,keyframe_ratio,static_anchor_mib,static_anchor_mib_with_metadata,static_anchor_mib_per_frame,static_anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/car-shadow,q10,10,4,adapter,40,11,0.275,0.5712890625,0.5713386535644531,0.1571044921875,0.1571181297302246,21.86948632915208,18.97969167301392,29.488035877152672,0.6371714226901531,0.5346694228977993,0.9074039675972678
DAVIS/val/car-shadow,q10,10,8,linear,40,6,0.15,0.5712890625,0.5713386535644531,0.085693359375,0.08570079803466797,19.029757146920453,17.19587063379844,29.421780721278523,0.5149196699261666,0.44601206744418426,0.9053960839907328
DAVIS/val/car-shadow,q10,10,8,adapter,40,6,0.15,0.5712890625,0.5713386535644531,0.085693359375,0.08570079803466797,19.5991730010363,17.86577163864061,29.421780721278523,0.5512191236019135,0.48871730706271005,0.9053960839907328
DAVIS/val/car-shadow,q10,10,16,linear,40,4,0.1,0.5712890625,0.5713386535644531,0.05712890625,0.05713386535644531,17.864635382474454,16.581791748433705,29.410228088841144,0.463350098580122,0.4145496330327458,0.9025542885065079
DAVIS/val/car-shadow,q10,10,16,adapter,40,4,0.1,0.5712890625,0.5713386535644531,0.05712890625,0.05713386535644531,18.403579250309093,17.180618268249976,29.410228088841144,0.5049794510006904,0.46080446905559963,0.9025542885065079
DAVIS/val/car-shadow,q12,12,4,linear,40,11,0.275,0.685546875,0.6855964660644531,0.188525390625,0.1885390281677246,21.45004796642168,18.258529102691682,29.864052243528025,0.6179148226976394,0.5024342105306429,0.9223637093197216
DAVIS/val/car-shadow,q12,12,4,adapter,40,11,0.275,0.685546875,0.6855964660644531,0.188525390625,0.1885390281677246,21.973515045361363,18.98055265984987,29.864052243528025,0.6414978846907615,0.5349625719004664,0.9223637093197216
DAVIS/val/car-shadow,q12,12,8,linear,40,6,0.15,0.685546875,0.6855964660644531,0.10283203125,0.10283946990966797,19.08758229914461,17.19960590782785,29.786115183272937,0.521442785859108,0.4511823058128357,0.9195855061213175
DAVIS/val/car-shadow,q12,12,8,adapter,40,6,0.15,0.685546875,0.6855964660644531,0.10283203125,0.10283946990966797,19.65470916769025,17.866813988469772,29.786115183272937,0.5535272851586341,0.48892877557698416,0.9195855061213175
DAVIS/val/car-shadow,q12,12,16,linear,40,4,0.1,0.685546875,0.6855964660644531,0.0685546875,0.06855964660644531,17.90420022960835,16.584060896305026,29.785454229338235,0.4691826269030571,0.41944575640890336,0.916814461350441
DAVIS/val/car-shadow,q12,12,16,adapter,40,4,0.1,0.685546875,0.6855964660644531,0.0685546875,0.06855964660644531,18.44129766838021,17.180835828273757,29.785454229338235,0.5065013244748116,0.46091097593307495,0.916814461350441
DAVIS/val/goat,q8,8,4,linear,90,24,0.26666666666666666,0.45703125,0.4570808410644531,0.121875,0.12188822428385417,19.153657725977755,17.01375461548046,25.038391279845314,0.3262928768992424,0.15330680911288116,0.8020045633117358
DAVIS/val/goat,q8,8,4,adapter,90,24,0.26666666666666666,0.45703125,0.4570808410644531,0.121875,0.12188822428385417,19.73679707382765,17.80894463527577,25.038391279845314,0.35683985782994165,0.19496178310928922,0.8020045633117358
DAVIS/val/goat,q8,8,8,linear,90,13,0.14444444444444443,0.45703125,0.4570808410644531,0.066015625,0.06602278815375434,17.403143137809028,16.124523897171,24.976503255434313,0.21938900388777255,0.12133774243585475,0.8001541678722088
DAVIS/val/goat,q8,8,8,adapter,90,13,0.14444444444444443,0.45703125,0.4570808410644531,0.066015625,0.06602278815375434,17.986255403638253,16.806083688399962,24.976503255434313,0.2504380212061935,0.1576288016392039,0.8001541678722088
DAVIS/val/goat,q8,8,16,linear,90,7,0.07777777777777778,0.45703125,0.4570808410644531,0.035546875,0.0355507320827908,16.217413900960498,15.48133148102477,24.945248308769873,0.15615063615971142,0.10194206713552935,0.7989093831607273
DAVIS/val/goat,q8,8,16,adapter,90,7,0.07777777777777778,0.45703125,0.4570808410644531,0.035546875,0.0355507320827908,16.74081067318615,16.048870149703188,24.945248308769873,0.18528800797131326,0.13353680765413375,0.7989093831607273
DAVIS/val/goat,q10,10,4,linear,90,24,0.26666666666666666,0.5712890625,0.5713386535644531,0.15234375,0.15235697428385417,19.702222219805357,17.02743244545951,27.05789409925644,0.3485622882015175,0.15769180824810808,0.8734561080733935
DAVIS/val/goat,q10,10,4,adapter,90,24,0.26666666666666666,0.5712890625,0.5713386535644531,0.15234375,0.15235697428385417,20.277517246640357,17.81192566387087,27.05789409925644,0.3770939324465063,0.19659859585491093,0.8734561080733935
DAVIS/val/goat,q10,10,8,linear,90,13,0.14444444444444443,0.5712890625,0.5713386535644531,0.08251953125,0.08252669440375435,17.700657634614423,16.127253821540176,27.02004945051572,0.23292929832306172,0.12488407404585318,0.8728894728880662
DAVIS/val/goat,q10,10,8,adapter,90,13,0.14444444444444443,0.5712890625,0.5713386535644531,0.08251953125,0.08252669440375435,18.2785828661944,16.802750845464825,27.02004945051572,0.26198873875869644,0.15884965377581584,0.8728894728880662
DAVIS/val/goat,q10,10,16,linear,90,7,0.07777777777777778,0.5712890625,0.5713386535644531,0.04443359375,0.0444374508327908,16.373833182703454,15.477738374895504,26.99895733242632,0.16428191777732637,0.10455206054520894,0.8725073678152901
DAVIS/val/goat,q10,10,16,adapter,90,7,0.07777777777777778,0.5712890625,0.5713386535644531,0.04443359375,0.0444374508327908,16.895450941954014,16.043347993359962,26.99895733242632,0.19171792028678789,0.13430194278438407,0.8725073678152901
DAVIS/val/goat,q12,12,4,linear,90,24,0.26666666666666666,0.685546875,0.6855964660644531,0.1828125,0.18282572428385416,19.78531667985945,17.029311127762895,27.36433194812498,0.3513139631185267,0.15808685609337056,0.882688507437706
DAVIS/val/goat,q12,12,4,adapter,90,24,0.26666666666666666,0.685546875,0.6855964660644531,0.1828125,0.18282572428385416,20.358981188454283,17.811580912210392,27.36433194812498,0.37954679255684215,0.19658616896380077,0.882688507437706
DAVIS/val/goat,q12,12,8,linear,90,13,0.14444444444444443,0.685546875,0.6855964660644531,0.0990234375,0.09903060065375434,17.745931911422616,16.1284471507469,27.326418570809516,0.23465001434087754,0.12532077884519255,0.8822154861230117
DAVIS/val/goat,q12,12,8,adapter,90,13,0.14444444444444443,0.685546875,0.6855964660644531,0.0990234375,0.09903060065375434,18.322283103404626,16.80210438812847,27.326418570809516,0.2633257769048214,0.15883790391993213,0.8822154861230117
DAVIS/val/goat,q12,12,16,linear,90,7,0.07777777777777778,0.685546875,0.6855964660644531,0.0533203125,0.0533241695827908,16.39889204126963,15.478631583774332,27.310551751571072,0.16535298021303282,0.10492042811161065,0.8819103837013245
DAVIS/val/goat,q12,12,16,adapter,90,7,0.07777777777777778,0.685546875,0.6855964660644531,0.0533203125,0.0533241695827908,16.91943810963064,16.043079127780246,27.310551751571072,0.19243763006395764,0.1342893255403243,0.8819103837013245
DAVIS/val/soapbox,q8,8,4,linear,99,26,0.26262626262626265,0.45703125,0.4570808410644531,0.12002840909090909,0.12004143300682607,21.109689026669123,18.608049724871137,28.133522450948092,0.504833644387698,0.3893363602357368,0.8291144806605119
DAVIS/val/soapbox,q8,8,4,adapter,99,26,0.26262626262626265,0.45703125,0.4570808410644531,0.12002840909090909,0.12004143300682607,21.524673663718215,19.170837109362363,28.133522450948092,0.5473472301406089,0.4469917710513285,0.8291144806605119
