base_method,codec,reference_gap,keep_fraction,side_bits,task_count,selector_policy,selected_candidate,zlib_level,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_raw_deterministic_mib_per_intermediate_frame,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_savings_bytes_vs_raw,mean_compressed_ratio_vs_raw,mean_stage96_entropy_reference_bytes,mean_stage96_entropy_reference_mib_per_intermediate_frame,mean_compressed_minus_stage96_entropy_reference_bytes,mean_compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference_count,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
linear,q12,4,0.05,8,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,24029.0,16579.666666666668,0.02291584014892578,0.015811602274576824,7449.333333333333,0.6899857117094622,29869.833333333332,0.028486092885335285,-13290.166666666666,0.5550639162142407,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.1,2,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,12050.0,5816.666666666667,0.011491775512695312,0.0055472056070963545,6233.333333333333,0.4827109266943292,29869.833333333332,0.028486092885335285,-24053.166666666668,0.1947338172849977,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.1,3,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,18040.0,10576.666666666666,0.01720428466796875,0.010086695353190104,7463.333333333333,0.586289726533629,29869.833333333332,0.028486092885335285,-19293.166666666668,0.35409192105747717,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.1,4,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,24029.0,12980.666666666666,0.02291584014892578,0.012379328409830729,11048.333333333334,0.540208359343571,29869.833333333332,0.028486092885335285,-16889.166666666668,0.4345744591812252,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.1,5,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,30019.0,21282.333333333332,0.02862834930419922,0.020296414693196613,8736.666666666666,0.7089621017799838,29869.833333333332,0.028486092885335285,-8587.499999999998,0.7125025806415616,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.1,6,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,36009.0,25652.333333333332,0.034340858459472656,0.024463971455891926,10356.666666666666,0.712386718135281,29869.833333333332,0.028486092885335285,-4217.499999999999,0.8588040330545311,3,0.0,stage115_q6_top10_setting
linear,q12,4,0.1,8,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,3686.0,47988.0,32082.666666666668,0.045764923095703125,0.030596415201822918,15905.333333333334,0.6685560278958628,29869.833333333332,0.028486092885335285,2212.8333333333344,1.0740825470513728,1,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.15,2,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,18043.0,8349.666666666666,0.01720714569091797,0.007962862650553385,9693.333333333334,0.4627648764987345,29869.833333333332,0.028486092885335285,-21520.166666666668,0.27953509393535286,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.15,3,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,27029.0,15273.333333333334,0.02577686309814453,0.014565785725911459,11755.666666666666,0.5650720830712691,29869.833333333332,0.028486092885335285,-14596.5,0.5113297139254209,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.15,4,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,36015.0,18811.333333333332,0.034346580505371094,0.01793988545735677,17203.666666666668,0.522319403952057,29869.833333333332,0.028486092885335285,-11058.5,0.6297769767714361,3,0.0,cross_setting_rate_only_quality_unknown
