task_id,sequence,codec,reference_gap,target_index,base_method,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,raw_deterministic_payload_bytes,compressed_deterministic_payload_bytes,raw_deterministic_mib_per_intermediate_frame,compressed_deterministic_mib_per_intermediate_frame,compressed_savings_bytes_vs_raw,compressed_ratio_vs_raw,metadata_zlib_bytes,residual_zlib_bytes,omitted_index_bytes_vs_fixed_aligned,stage96_entropy_reference_bytes,stage96_entropy_reference_mib_per_intermediate_frame,compressed_minus_stage96_entropy_reference_bytes,compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference,decoded_max_abs_diff_vs_raw_deterministic,comparison_note
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,36009,32836,0.034340858459472656,0.031314849853515625,3173,0.9118831403260296,61,32749,7372,35406.434782608696,0.03376620748768682,-2570.434782608696,0.9274020443348544,1,0.0,stage115_q6_top10_setting
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,8,9,3686,47988,39414,0.045764923095703125,0.03758811950683594,8574,0.8213303325831458,61,39327,7372,35406.434782608696,0.03376620748768682,4007.565217391304,1.1131874825013386,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,2,9,5530,18043,9933,0.01720714569091797,0.009472846984863281,8110,0.5505182065066785,61,9846,11060,35406.434782608696,0.03376620748768682,-25473.434782608696,0.2805422251911959,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,3,9,5530,27029,20301,0.02577686309814453,0.01936054229736328,6728,0.7510821710015169,61,20214,11060,35406.434782608696,0.03376620748768682,-15105.434782608696,0.5733703527238969,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,4,9,5530,36015,25181,0.034346580505371094,0.02401447296142578,10834,0.6991808968485353,61,25094,11060,35406.434782608696,0.03376620748768682,-10225.434782608696,0.7111984065780231,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,5,9,5530,45002,41145,0.04291725158691406,0.039238929748535156,3857,0.9142926981023065,61,41058,11060,35406.434782608696,0.03376620748768682,5738.565217391304,1.1620769007844312,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,6,9,5530,53988,48351,0.051486968994140625,0.046111106872558594,5637,0.8955879084240942,61,48264,11060,35406.434782608696,0.03376620748768682,12944.565217391304,1.3655992278485365,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,8,9,5530,71960,58202,0.06862640380859375,0.05550575256347656,13758,0.808810450250139,61,58115,11060,35406.434782608696,0.03376620748768682,22795.565217391304,1.6438254898397244,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,2,9,7373,24033,13345,0.022919654846191406,0.012726783752441406,10688,0.5552781591977697,61,13258,14746,35406.434782608696,0.03376620748768682,-22061.434782608696,0.37690888907444975,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,3,9,7373,36014,26376,0.03434562683105469,0.02515411376953125,9638,0.7323818515021936,61,26289,14746,35406.434782608696,0.03376620748768682,-9030.434782608696,0.7449493337000889,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,47995,32422,0.04577159881591797,0.030920028686523438,15573,0.6755287009063444,61,32335,14746,35406.434782608696,0.03376620748768682,-2984.434782608696,0.9157092545201806,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,5,9,7373,59976,54088,0.05719757080078125,0.05158233642578125,5888,0.901827397625717,61,54001,14746,35406.434782608696,0.03376620748768682,18681.565217391304,1.5276319214881107,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,6,9,7373,71957,63805,0.06862354278564453,0.06084918975830078,8152,0.8867101185430187,61,63718,14746,35406.434782608696,0.03376620748768682,28398.565217391304,1.8020735606890421,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,8,9,7373,95919,76535,0.0914754867553711,0.07298946380615234,19384,0.7979128222771297,61,76448,14746,35406.434782608696,0.03376620748768682,41128.565217391304,2.1616127257634328,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,2,9,922,3067,1377,0.0029249191284179688,0.0013132095336914062,1690,0.4489729377241604,50,1301,1844,29869.833333333332,0.028486092885335285,-28492.833333333332,0.04610002287703871,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,3,9,922,4565,2385,0.004353523254394531,0.0022745132446289062,2180,0.5224534501642936,50,2309,1844,29869.833333333332,0.028486092885335285,-27484.833333333332,0.0798464448523873,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,4,9,922,6063,2809,0.005782127380371094,0.0026788711547851562,3254,0.4633019957116939,50,2733,1844,29869.833333333332,0.028486092885335285,-27060.833333333332,0.0940413683817006,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,5,9,922,7562,4928,0.0072116851806640625,0.00469970703125,2634,0.6516794498809839,50,4852,1844,29869.833333333332,0.028486092885335285,-24941.833333333332,0.1649825074350376,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,6,9,922,9060,6084,0.008640289306640625,0.005802154541015625,2976,0.671523178807947,50,6008,1844,29869.833333333332,0.028486092885335285,-23785.833333333332,0.20368376120835402,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,8,9,922,12056,7788,0.01149749755859375,0.007427215576171875,4268,0.6459854014598541,50,7712,1844,29869.833333333332,0.028486092885335285,-22081.833333333332,0.2607312840714433,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,2,9,1843,6060,2339,0.005779266357421875,0.0022306442260742188,3721,0.38597359735973596,50,2263,3686,29869.833333333332,0.028486092885335285,-27530.833333333332,0.07830642956382973,1,0.0,cross_setting_rate_only_quality_unknown
