stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,feature_mode,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.5699945688247681,0.5380756258964539,0.794373631477356,0.6773583889007568
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.5217037200927734,0.5393950939178467,0.794373631477356,0.6790193915367126
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.566739022731781,0.536095142364502,0.794373631477356,0.6748652458190918
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.5339121222496033,0.5310782194137573,0.794373631477356,0.668549656867981
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.5694519877433777,0.5362356901168823,0.794373631477356,0.6750421524047852
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3657080829143524,0.1244654580950737,0.16845475137233734,0.7388657927513123
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.45903417468070984,0.13577352464199066,0.16845475137233734,0.8059940338134766
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.43868693709373474,0.1346457451581955,0.16845475137233734,0.7992991805076599
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.438144326210022,0.13417711853981018,0.16845475137233734,0.7965172529220581
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.45198047161102295,0.1360950618982315,0.16845475137233734,0.8079027533531189
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.4666304886341095,0.13612473011016846,0.16845475137233734,0.8080788850784302
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.433260977268219,0.13490618765354156,0.16845475137233734,0.8008452653884888
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.15762344002723694,0.15618087351322174,0.6438446044921875,0.24257542192935944
