stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,energy_regression,mlp_selector,0.1,3686,0.4177970588207245,0.31630057096481323,0.5767329335212708,0.5484350919723511
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.32257190346717834,0.13413752615451813,0.2157866656780243,0.6216210126876831
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.5314704179763794,0.169697105884552,0.2157866656780243,0.786411464214325
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.539066731929779,0.17013396322727203,0.2157866656780243,0.7884359359741211
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.5306565165519714,0.16936329007148743,0.2157866656780243,0.7848644852638245
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.48290830850601196,0.16699475049972534,0.2157866656780243,0.7738881707191467
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.17932718992233276,0.14173851907253265,0.45204707980155945,0.31354814767837524
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,linear,topk_bce,mlp_selector,0.1,3686,0.1739012449979782,0.15518519282341003,0.45204707980155945,0.34329432249069214
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.18122626841068268,0.1573193371295929,0.45204707980155945,0.34801536798477173
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.17688551545143127,0.15667106211185455,0.45204707980155945,0.34658128023147583
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,linear,energy_regression,mlp_selector,0.1,3686,0.17525772750377655,0.15854455530643463,0.45204707980155945,0.35072576999664307
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.16576234996318817,0.11449737846851349,0.27580636739730835,0.41513681411743164
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.27129679918289185,0.15430670976638794,0.27580636739730835,0.559474766254425
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.26424309611320496,0.15249159932136536,0.27580636739730835,0.5528936982154846
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.2672273516654968,0.15346428751945496,0.27580636739730835,0.5564203858375549
stage97_00012756,stage79_00025587,eval,drift-straight,q12,8,14,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.26668474078178406,0.15128859877586365,0.27580636739730835,0.5485319495201111
