step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
202,n3dv,4,1,0.25,0.0013763715978711843,28.61264297846433
203,meetroom,4,15,0.75,0.0008498072274960577,30.70679579614699
204,meetroom,16,63,0.9375,0.0015981440665200353,27.963840732857985
205,robot,16,17,0.0625,0.005742714274674654,22.408827912443556
206,robot,4,5,0.25,0.004595278762280941,23.376881379779277
207,meetroom,8,17,0.125,0.0011431981110945344,29.418785018009718
208,n3dv,4,5,0.25,0.0010749479988589883,29.6861254445055
209,meetroom,4,1,0.25,0.0009651773143559694,30.153928943531856
210,robot,8,23,0.875,0.013934931717813015,18.558951550202625
211,robot,8,1,0.125,0.009093813598155975,20.412539520576697
212,robot,4,7,0.75,0.009129568003118038,20.395497721152918
213,meetroom,2,7,0.5,0.0009495410486124456,30.22486255992224
214,n3dv,16,31,0.9375,0.0008636176353320479,30.636784978232217
215,meetroom,16,49,0.0625,0.0012288943398743868,29.104854560738055
216,robot,16,31,0.9375,0.0058914306573569775,22.29779229635822
217,meetroom,4,11,0.75,0.0009787216549739242,30.093408024733822
218,meetroom,8,25,0.125,0.0014101784909144044,28.50725913789188
219,meetroom,4,3,0.75,0.0012103895423933864,29.170748372159224
220,meetroom,8,9,0.125,0.0011922144331037998,29.236456248489375
221,n3dv,16,47,0.9375,0.0010291088838130236,29.875386727230225
222,meetroom,16,17,0.0625,0.0011534617515280843,29.37996801988749
223,n3dv,8,9,0.125,0.0009099606540985405,30.409773857858436
224,n3dv,16,15,0.9375,0.0008648366201668978,30.63065929138359
225,n3dv,4,15,0.75,0.0008622856112197042,30.64348860820416
226,n3dv,16,63,0.9375,0.0009579136967658997,30.186736169201147
227,n3dv,16,49,0.0625,0.0009627125691622496,30.16503358004951
228,meetroom,8,7,0.875,0.0011187257478013635,29.51276366389065
229,robot,8,17,0.125,0.005549767520278692,22.557252090889982
230,robot,16,33,0.0625,0.005038639064878225,22.976867505439984
231,meetroom,16,1,0.0625,0.0009540636674501002,30.204226425918815
232,n3dv,8,1,0.125,0.0014660654123872519,28.338466520652403
233,meetroom,16,47,0.9375,0.001018064678646624,29.92224629968781
234,meetroom,2,5,0.5,0.0010191902983933687,29.917447190101754
235,n3dv,4,9,0.25,0.0008854161133058369,30.52852578747352
236,meetroom,16,33,0.0625,0.0011637964053079486,29.341229885735522
237,robot,2,5,0.5,0.0032056327909231186,24.940862280859225
238,n3dv,8,25,0.125,0.0008395222248509526,30.759678022032794
239,n3dv,8,15,0.875,0.0008516132365912199,30.697575969591135
240,n3dv,8,7,0.875,0.0009009734494611621,30.452880069370366
241,n3dv,8,17,0.125,0.0008796491893008351,30.55690493221412
242,meetroom,4,5,0.25,0.0013158029178157449,28.808091548822354
243,meetroom,8,15,0.875,0.000870686664711684,30.60138107069697
244,n3dv,16,33,0.0625,0.0009085340425372124,30.416587951483823
245,n3dv,2,7,0.5,0.0008720186306163669,30.59474236297423
246,robot,16,65,0.08333333333333333,0.002083109226077795,26.81287957589842
247,robot,8,73,0.25,0.0020787063986063004,26.822068471137488
248,robot,4,9,0.25,0.009081671945750713,20.418341900284716
249,meetroom,4,9,0.25,0.0010781696764752269,29.673128868689787
250,robot,8,75,0.75,0.009678417816758156,20.141956333541003
251,n3dv,4,3,0.75,0.0010480412747710943,29.796216132947087
252,robot,4,13,0.25,0.006100117228925228,22.14661818860357
253,robot,8,75,0.75,0.009678542613983154,20.141900334308716
254,robot,8,23,0.875,0.013935835100710392,18.558670012051866
255,n3dv,2,5,0.5,0.0009642678196541965,30.15802326632542
256,n3dv,2,7,0.5,0.0008721515187062323,30.5940805862058
257,robot,16,1,0.0625,0.009734826162457466,20.116717993940316
258,n3dv,8,25,0.125,0.0008382779196836054,30.766119730466514
259,meetroom,16,63,0.9375,0.001601002411916852,27.95608013813748
260,n3dv,8,15,0.875,0.0008502412238158286,30.704578421568147
261,meetroom,2,3,0.5,0.0010133556788787246,29.942380943608494
262,n3dv,16,1,0.0625,0.0015123680932447314,28.20342493617039
263,robot,16,47,0.9375,0.002449759980663657,26.10876464280225
264,n3dv,8,7,0.875,0.0008999157580547035,30.45798143365508
265,n3dv,2,3,0.5,0.0009709381265565753,30.128084448100484
266,n3dv,4,9,0.25,0.000882299616932869,30.543839093304225
267,robot,8,9,0.125,0.009179498068988323,20.371810651852766
268,robot,16,65,0.08333333333333333,0.002078220946714282,26.82308282169682
269,n3dv,16,63,0.9375,0.0009561615879647434,30.194687072727678
270,meetroom,2,7,0.5,0.0009439981658942997,30.25028849497226
271,robot,2,1,0.5,0.0062841689214110374,22.01752149435584
272,n3dv,8,23,0.875,0.0008426501881331205,30.743526779172626
273,robot,4,9,0.25,0.009081265889108181,20.418536084904876
274,robot,16,17,0.0625,0.005723779089748859,22.423171362599994
275,meetroom,4,3,0.75,0.0012049747165292501,29.190220656094684
276,n3dv,4,3,0.75,0.001047168392688036,29.799834748304242
277,n3dv,4,11,0.75,0.0008629661169834435,30.64006255844468
278,robot,4,1,0.25,0.00805951189249754,20.936912595365843
279,robot,16,15,0.9375,0.004568720236420631,23.402054349621707
280,n3dv,16,17,0.0625,0.0008861838141456246,30.524761864770934
281,robot,2,5,0.5,0.0032013836316764355,24.94662279889883
282,n3dv,8,9,0.125,0.0009036058909259737,30.440209464233167
283,meetroom,4,15,0.75,0.0008430406451225281,30.741514864346872
284,meetroom,8,23,0.875,0.0015181367052718997,28.186891193021587
285,robot,4,7,0.75,0.009120859205722809,20.399642482145694
286,robot,16,75,0.9166666666666666,0.010069889016449451,19.969753159219724
287,meetroom,8,25,0.125,0.00141262193210423,28.499740552575105
288,n3dv,4,13,0.25,0.0008949852199293673,30.481841367020984
289,n3dv,4,1,0.25,0.0013677427778020501,28.63995569783173
290,meetroom,16,15,0.9375,0.0008640546002425253,30.634588132678473
291,meetroom,8,15,0.875,0.0008659219602122903,30.625212462925457
292,meetroom,16,49,0.0625,0.0012288180878385901,29.10512404579267
293,meetroom,16,17,0.0625,0.001149964053183794,29.393157350793608
294,meetroom,8,17,0.125,0.0011391853913664818,29.43405592957223
295,robot,8,73,0.25,0.0020722777117043734,26.83552044014229
296,n3dv,4,7,0.75,0.0009128663805313408,30.395927870273095
297,n3dv,4,5,0.25,0.0010669796029105783,29.71843882757398
298,robot,8,17,0.125,0.005531963426619768,22.57120699797312
299,n3dv,2,1,0.5,0.0011797592742368579,29.28206599927747
300,meetroom,16,31,0.9375,0.0010525924153625965,29.7773976369176
301,robot,2,3,0.5,0.006552440579980612,21.83596908710785
302,meetroom,8,9,0.125,0.0011850877199321985,29.2624950208212
303,robot,8,7,0.875,0.01233851071447134,19.087372574437744
304,n3dv,8,31,0.875,0.0008565806783735752,30.67231726075775
305,n3dv,16,15,0.9375,0.0008577067055739462,30.666611945832102
306,n3dv,16,49,0.0625,0.0009552350966259837,30.198897293564734
307,robot,4,13,0.25,0.006097487173974514,22.148491045489514
308,robot,8,15,0.875,0.004540210124105215,23.42924047224903
309,n3dv,8,17,0.125,0.0008768081897869706,30.570954023329286
310,meetroom,16,47,0.9375,0.0010060046333819628,29.97400019033983
311,robot,16,33,0.0625,0.005030596628785133,22.98380504561738
312,n3dv,4,15,0.75,0.0008570472127757967,30.669952531255447
313,n3dv,8,1,0.125,0.0014569618506357074,28.365518197298787
314,meetroom,4,9,0.25,0.0010738798882812262,29.690442910515358
315,meetroom,16,1,0.0625,0.000948868808336556,30.227938294632175
316,robot,2,7,0.5,0.005475323647260666,22.615902045124834
317,meetroom,8,7,0.875,0.0011148956837132573,29.52765765895726
318,meetroom,4,5,0.25,0.001309300889261067,28.829605371547483
319,meetroom,4,11,0.75,0.0009705030242912471,30.130031069206943
320,robot,4,11,0.75,0.011287098750472069,19.474176753099538
321,meetroom,2,5,0.5,0.0010144781554117799,29.93757300120299
322,meetroom,4,7,0.75,0.0011159454006701708,29.523570533981967
323,meetroom,8,31,0.875,0.001105551142245531,29.564211623740164
324,n3dv,16,47,0.9375,0.001027858816087246,29.880665347620546
