stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,selector_scope,group_key,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.3328811824321747,0.3024379312992096,0.7185969948768616,0.4208728075027466
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.30683666467666626,0.16158072650432587,0.3027016222476959,0.5337953567504883
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.36706456542015076,0.1818820685148239,0.3027016222476959,0.6008625626564026
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.3665219843387604,0.18159648776054382,0.3027016222476959,0.5999190807342529
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.3969072103500366,0.18716509640216827,0.3027016222476959,0.6183154582977295
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.39582201838493347,0.1863727867603302,0.3027016222476959,0.6156980395317078
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,endpoint_only,linear__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.13537710905075073,0.1306276023387909,0.49843379855155945,0.26207613945007324
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.18583831191062927,0.14412197470664978,0.49843379855155945,0.289149671792984
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.17335864901542664,0.14154814183712006,0.49843379855155945,0.28398585319519043
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,group_specific,linear__gap8,topk_bce,mlp_selector,0.1,3686,0.2452523112297058,0.1856003999710083,0.49843379855155945,0.3723672032356262
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,group_specific,linear__gap8,energy_regression,mlp_selector,0.1,3686,0.19479110836982727,0.15681573748588562,0.49843379855155945,0.31461697816848755
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,endpoint_only,stage65_adapter__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.19587628543376923,0.12026755511760712,0.2660045027732849,0.45212602615356445
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.25339120626449585,0.13598424196243286,0.2660045027732849,0.5112103223800659
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.2569180727005005,0.1361755132675171,0.2660045027732849,0.5119293332099915
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,group_specific,stage65_adapter__gap8,topk_bce,mlp_selector,0.1,3686,0.28241997957229614,0.14557120203971863,0.2660045027732849,0.5472508668899536
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,group_specific,stage65_adapter__gap8,energy_regression,mlp_selector,0.1,3686,0.29110145568847656,0.14246340095996857,0.2660045027732849,0.5355676412582397
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,endpoint_only,linear__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34698861837387085,0.2564000189304352,0.5767329335212708,0.44457322359085083
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.40911558270454407,0.3145543038845062,0.5767329335212708,0.545407235622406
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.42783504724502563,0.3190493583679199,0.5767329335212708,0.5532011985778809
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,group_specific,linear__gap8,topk_bce,mlp_selector,0.1,3686,0.4017905592918396,0.31865447759628296,0.5767329335212708,0.552516520023346
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,group_specific,linear__gap8,energy_regression,mlp_selector,0.1,3686,0.4145415127277374,0.3167182505130768,0.5767329335212708,0.5491592884063721
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,stage65_adapter,endpoint_only,stage65_adapter__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.32257190346717834,0.13413752615451813,0.2157866656780243,0.6216210126876831
