model_name,selector_scope,group_key,objective,step,loss,batch_positive_rate,batch_energy_target_mean,train_example_count
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,200,0.009352698922157288,0.102294921875,0.3025115132331848,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,250,0.009525733068585396,0.10693359375,0.3037354052066803,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,300,0.008634502068161964,0.097900390625,0.2987525463104248,79872
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,1,1.208585262298584,0.09521484375,0.28965824842453003,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,50,0.9507324695587158,0.09228515625,0.29165366291999817,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,100,0.9855868220329285,0.105712890625,0.294966459274292,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,150,0.9292684197425842,0.104248046875,0.2955278158187866,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,200,0.9288836121559143,0.103759765625,0.29324787855148315,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,250,0.8907440304756165,0.095458984375,0.2927210032939911,98304
group_specific__stage65_adapter__gap8__topk_bce,group_specific,stage65_adapter__gap8,topk_bce,300,0.9025912284851074,0.096435546875,0.2945435047149658,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,1,0.058127231895923615,0.1025390625,0.29400497674942017,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,50,0.011917863972485065,0.098876953125,0.2922741770744324,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,100,0.011763139627873898,0.100341796875,0.2938818335533142,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,150,0.009369615465402603,0.094482421875,0.29300904273986816,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,200,0.010434821248054504,0.094482421875,0.29479485750198364,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,250,0.0105061000213027,0.09765625,0.2923572063446045,98304
group_specific__stage65_adapter__gap8__energy_regression,group_specific,stage65_adapter__gap8,energy_regression,300,0.010690211318433285,0.101318359375,0.293207585811615,98304
