sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,mean_roundtrip_mse
driving,uniform,8,6,uint8,81,11,5278258,2240440,0.06214492703661507,0.026378396116657023,0.046549479166666664,57.55342008670285,0.0,0.0
driving,uniform,8,8,uint8,81,11,5278279,3356144,0.06214517428551191,0.03951442388840663,0.062065972222222224,36.41594163552173,0.0,0.0
driving,uniform,8,10,uint16,81,11,10549930,5226036,0.12421231210967641,0.061530077898943866,0.07758246527777778,50.46378506776822,0.0,0.0
driving,uniform,8,12,uint16,81,11,10549985,5906959,0.124212959666311,0.06954709983166353,0.09309895833333333,44.009787691641264,0.0,0.0
driving,uniform,8,16,uint16,81,11,10550028,6963392,0.12421346593786169,0.08198528525270062,0.12413194444444445,33.99645953546285,0.0,0.0
driving,rendered_prior_0p1,8,6,uint8,81,11,5278231,2242113,0.06214460914517626,0.02639809361210576,0.046549479166666664,57.52150673208505,0.0,0.0
driving,rendered_prior_0p1,8,8,uint8,81,11,5278245,3357163,0.06214477397777416,0.039526421346782165,0.062065972222222224,36.39622639722105,0.0,0.0
driving,rendered_prior_0p1,8,10,uint16,81,11,10549913,5226563,0.12421211195580753,0.061536282668879005,0.07758246527777778,50.458709943863994,0.0,0.0
driving,rendered_prior_0p1,8,12,uint16,81,11,10549974,5908627,0.12421283015498409,0.06956673845832731,0.09309895833333333,43.993918847572516,0.0,0.0
driving,rendered_prior_0p1,8,16,uint16,81,11,10550015,6965446,0.12421331287902078,0.08200946854956356,0.12413194444444445,33.97690903757009,0.0,0.0
driving,uniform,16,6,uint8,81,6,2879094,1222933,0.03389775311505353,0.0143985159603166,0.025390625,57.52368627075045,0.0,0.0
driving,uniform,16,8,uint8,81,6,2879106,1833168,0.03389789440013744,0.021583274558738427,0.033854166666666664,36.32856865985483,0.0,0.0
driving,uniform,16,10,uint16,81,6,5754557,2854404,0.06775275571846667,0.03360705905490451,0.042317708333333336,50.397502362041074,0.0,0.0
driving,uniform,16,12,uint16,81,6,5754581,3225762,0.0677530382886345,0.037979337904188365,0.05078125,43.94445051690123,0.0,0.0
driving,uniform,16,16,uint16,81,6,5754608,3803127,0.0677533561800733,0.04477709311026114,0.06770833333333333,33.91162351979492,0.0,0.0
driving,rendered_prior_0p1,16,6,uint8,81,6,2879102,1221677,0.033897847305109474,0.014383728121533806,0.025390625,57.5674290108513,0.0,0.0
driving,rendered_prior_0p1,16,8,uint8,81,6,2879105,1832907,0.03389788262638045,0.02158020160816334,0.033854166666666664,36.33761186201962,0.0,0.0
driving,rendered_prior_0p1,16,10,uint16,81,6,5754562,2853507,0.06775281458725164,0.03359649799488209,0.042317708333333336,50.41313309336141,0.0,0.0
driving,rendered_prior_0p1,16,12,uint16,81,6,5754596,3225377,0.0677532148949894,0.03797480500774619,0.05078125,43.9512869365634,0.0,0.0
driving,rendered_prior_0p1,16,16,uint16,81,6,5754625,3804152,0.06775355633394217,0.044789161211178624,0.06770833333333333,33.89400699437409,0.0,0.0
robot,uniform,1,6,uint8,77,77,36947938,17172046,0.457614279412604,0.21268232766684,0.3427734375,53.5236688986541,0.0,0.0
robot,uniform,1,8,uint8,77,77,36947762,24794422,0.45761209958559507,0.30708835651348165,0.45703125,32.89330487730218,0.0,0.0
robot,uniform,1,10,uint16,77,77,73849534,37790427,0.9146545955113002,0.4680488264405882,0.5712890625,48.827805738083605,0.0,0.0
