task_id,sequence,codec,reference_gap,target_index,base_method,setting_label,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,compressed_payload_bytes,compressed_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,setting_psnr,delta_psnr_vs_base,q6_top10_psnr,delta_psnr_vs_q6_top10,q6_top10_payload_bytes,decoded_max_abs_diff_vs_raw_deterministic
stage79_00024828,dog,q12,16,57,stage65_adapter,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,16169,0.015419960021972656,0.055468969746314975,0.9375,0.07088892976828763,0.06992518226691434,18.453393577997925,18.917799514167925,0.4644059361699995,19.311715556971627,-0.39391604280370274,31457,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,28828,0.027492523193359375,0.055468969746314975,0.9375,0.08296149293967435,0.08124321024008939,18.453393577997925,20.08023865896911,1.6268450809711865,19.311715556971627,0.7685231019974843,31457,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,28318,0.027006149291992188,0.18193822076791313,0.75,0.20894437005990532,0.20219283273690727,18.025474094547945,19.172031666830208,1.146557572282262,19.172031666830208,0.0,28318,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,24188,0.023067474365234375,0.18193822076791313,0.75,0.2050056951331475,0.19923882654183891,18.025474094547945,19.1680560979812,1.1425820034332546,19.172031666830208,-0.003975568849007516,28318,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,16016,0.0152740478515625,0.18193822076791313,0.75,0.19721226861947563,0.193393756656585,18.025474094547945,19.15200678043456,1.126532685886616,19.172031666830208,-0.020024886395646035,28318,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,14506,0.013833999633789062,0.18193822076791313,0.75,0.1957722204017022,0.19231372049325493,18.025474094547945,18.653736259121686,0.6282621645737407,19.172031666830208,-0.5182954077085213,28318,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,30031,0.028639793395996094,0.18193822076791313,0.75,0.21057801416390923,0.2034180658149102,18.025474094547945,19.951483127042376,1.9260090324944308,19.172031666830208,0.7794514602121687,28318,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,32949,0.03142261505126953,0.18193822076791313,0.75,0.21336083581918266,0.20550518205636528,18.76259807656818,19.652961819010454,0.8903637424422719,19.652961819010454,0.0,32949,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,28120,0.02681732177734375,0.18193822076791313,0.75,0.20875554254525688,0.20205121210092095,18.76259807656818,19.64982447989162,0.8872264033234387,19.652961819010454,-0.0031373391188331823,32949,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,18334,0.017484664916992188,0.18193822076791313,0.75,0.19942288568490532,0.19505171945565727,18.76259807656818,19.63976334278773,0.8771652662195493,19.652961819010454,-0.013198476222722633,32949,0.0
