edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
bike-packing:00048:00056:gap8,stage199_00020000,bike-packing,8,48,56,51,0.375,topk_keep0p1_q6,0.1,6,30983,0.012478574179112911,0.005150576122105122,0.587246423495535,0.02381347306072712,0.010894649662077427,16.23177260575256,19.62786730747958,3.3960947017270193,ok,
bike-packing:00048:00056:gap8,stage199_00020000,bike-packing,8,48,56,51,0.375,topk_keep0p2_q6,0.2,6,59241,0.012478574179112911,0.002578951418399811,0.7933296399586619,0.02381347306072712,0.006474173627793789,16.23177260575256,21.888156576394074,5.656383970641514,ok,
bike-packing:00048:00056:gap8,stage199_00020001,bike-packing,8,48,56,52,0.5,topk_keep0p05_q6,0.05,6,16198,0.0112733393907547,0.00667020957916975,0.40831998860603724,0.019920427352190018,0.012885550037026405,17.007013489089495,18.89897038273579,1.8919568936462952,ok,
bike-packing:00048:00056:gap8,stage199_00020001,bike-packing,8,48,56,52,0.5,topk_keep0p1_q6,0.1,6,31085,0.0112733393907547,0.00453775841742754,0.5974787718048328,0.019920427352190018,0.009402533061802387,17.007013489089495,20.267551308081856,3.2605378189923613,ok,
bike-packing:00048:00056:gap8,stage199_00020001,bike-packing,8,48,56,52,0.5,topk_keep0p2_q6,0.2,6,59148,0.0112733393907547,0.002256229752674699,0.799861454137978,0.019920427352190018,0.005751641467213631,17.007013489089495,22.402081938462644,5.395068449373149,ok,
bike-packing:00048:00056:gap8,stage199_00020002,bike-packing,8,48,56,53,0.625,topk_keep0p05_q6,0.05,6,16329,0.009503979235887527,0.005171529017388821,0.45585644822740623,0.015193761326372623,0.009674507193267345,18.18334700062409,20.143711481380514,1.960364480756425,ok,
bike-packing:00048:00056:gap8,stage199_00020002,bike-packing,8,48,56,53,0.625,topk_keep0p1_q6,0.1,6,31112,0.009503979235887527,0.0033791668247431517,0.6444471583036251,0.015193761326372623,0.007499653846025467,18.18334700062409,21.24958781439014,3.0662408137660506,ok,
bike-packing:00048:00056:gap8,stage199_00020002,bike-packing,8,48,56,53,0.625,topk_keep0p2_q6,0.2,6,58646,0.009503979235887527,0.001656688516959548,0.8256847499514935,0.015193761326372623,0.00484467763453722,18.18334700062409,23.14735115661595,4.964004155991862,ok,
bike-packing:00048:00056:gap8,stage199_00020003,bike-packing,8,48,56,54,0.75,topk_keep0p05_q6,0.05,6,16307,0.006929568946361542,0.0030360035598278046,0.5618769964873649,0.010652042925357819,0.00646124966442585,19.72567092119646,21.896834773799508,2.1711638526030477,ok,
bike-packing:00048:00056:gap8,stage199_00020003,bike-packing,8,48,56,54,0.75,topk_keep0p1_q6,0.1,6,31085,0.006929568946361542,0.0018235348397865891,0.7368472910939057,0.010652042925357819,0.005193796474486589,19.72567092119646,22.84515072754313,3.1194798063466678,ok,
bike-packing:00048:00056:gap8,stage199_00020003,bike-packing,8,48,56,54,0.75,topk_keep0p2_q6,0.2,6,57651,0.006929568946361542,0.0008648156654089689,0.875199211941884,0.010652042925357819,0.0037084484938532114,19.72567092119646,24.308077484684667,4.582406563488206,ok,
bike-packing:00048:00056:gap8,stage199_00020004,bike-packing,8,48,56,55,0.875,topk_keep0p05_q6,0.05,6,16203,0.0038048906717449427,0.001089185825549066,0.7137405724591924,0.0054332660511136055,0.0037421914748847485,22.64939028317732,24.268739949337053,1.619349666159735,ok,
bike-packing:00048:00056:gap8,stage199_00020004,bike-packing,8,48,56,55,0.875,topk_keep0p1_q6,0.1,6,30047,0.0038048906717449427,0.0005992432124912739,0.842507114083134,0.0054332660511136055,0.0032772598788142204,22.64939028317732,24.844891187458078,2.1955009042807596,ok,
bike-packing:00048:00056:gap8,stage199_00020004,bike-packing,8,48,56,55,0.875,topk_keep0p2_q6,0.2,6,54186,0.0038048906717449427,0.000282225024420768,0.9258257204296128,0.0054332660511136055,0.0027828628662973642,22.64939028317732,25.555081942688034,2.9056916595107154,ok,
parkour:00096:00099:gap8,stage199_00027793,parkour,8,96,99,97,0.3333333333333333,topk_keep0p05_q6,0.05,6,16159,0.009697306901216507,0.006227165460586548,0.357845892264649,0.014319885522127151,0.011057173833251,18.440604539071582,19.56355862675835,1.122954087686768,ok,
parkour:00096:00099:gap8,stage199_00027793,parkour,8,96,99,97,0.3333333333333333,topk_keep0p1_q6,0.1,6,30703,0.009697306901216507,0.004495542496442795,0.5364133009053433,0.014319885522127151,0.009101818315684795,18.440604539071582,20.40871837834576,1.968113839274178,ok,
parkour:00096:00099:gap8,stage199_00027793,parkour,8,96,99,97,0.3333333333333333,topk_keep0p2_q6,0.2,6,58199,0.009697306901216507,0.002508599078282714,0.7413097157966595,0.014319885522127151,0.006525245029479265,18.440604539071582,21.854031754911787,3.413427215840205,ok,
parkour:00096:00099:gap8,stage199_00027794,parkour,8,96,99,98,0.6666666666666666,topk_keep0p05_q6,0.05,6,16161,0.009838263504207134,0.006340556312352419,0.3555207878259199,0.014549214392900467,0.011234138160943985,18.37160456440239,19.494602393376923,1.1229978289745333,ok,
parkour:00096:00099:gap8,stage199_00027794,parkour,8,96,99,98,0.6666666666666666,topk_keep0p1_q6,0.1,6,30798,0.009838263504207134,0.004585279617458582,0.5339340509127672,0.014549214392900467,0.009181270375847816,18.37160456440239,20.37097223041739,1.9993676660150008,ok,
parkour:00096:00099:gap8,stage199_00027794,parkour,8,96,99,98,0.6666666666666666,topk_keep0p2_q6,0.2,6,58287,0.009838263504207134,0.002556651132181287,0.7401318707221058,0.014549214392900467,0.00665236497297883,18.37160456440239,21.77023931821345,3.3986347538110593,ok,
dog:00036:00048:gap12,stage199_00023233,dog,12,36,48,37,0.08333333333333333,topk_keep0p05_q6,0.05,6,15059,0.005964526906609535,0.003997734747827053,0.3297482247255855,0.010925821028649807,0.007433210499584675,19.6154591776125,21.288235683253134,1.672776505640634,ok,
dog:00036:00048:gap12,stage199_00023233,dog,12,36,48,37,0.08333333333333333,topk_keep0p1_q6,0.1,6,28559,0.005964526906609535,0.0030782995745539665,0.4838987864833374,0.010925821028649807,0.0057301269844174385,19.6154591776125,22.418357535961864,2.8028983583493634,ok,
dog:00036:00048:gap12,stage199_00023233,dog,12,36,48,37,0.08333333333333333,topk_keep0p2_q6,0.2,6,53542,0.005964526906609535,0.0019194502383470535,0.678189021794833,0.010925821028649807,0.003633848624303937,19.6154591776125,24.396331681118536,4.7808725035060355,ok,
dog:00036:00048:gap12,stage199_00023234,dog,12,36,48,38,0.16666666666666666,topk_keep0p05_q6,0.05,6,15691,0.007796556688845158,0.005360663868486881,0.3124318744252068,0.013364098034799099,0.00954847689718008,18.740603471751722,20.200658983538542,1.4600555117868197,ok,
dog:00036:00048:gap12,stage199_00023234,dog,12,36,48,38,0.16666666666666666,topk_keep0p1_q6,0.1,6,29747,0.007796556688845158,0.004170249216258526,0.4651165401997184,0.013364098034799099,0.0073462314903736115,18.740603471751722,21.3393539052818,2.5987504335300784,ok,
dog:00036:00048:gap12,stage199_00023234,dog,12,36,48,38,0.16666666666666666,topk_keep0p2_q6,0.2,6,55516,0.007796556688845158,0.002677957061678171,0.6565205425223637,0.013364098034799099,0.004748212173581123,18.740603471751722,23.234698828605186,4.494095356853464,ok,
dog:00036:00048:gap12,stage199_00023235,dog,12,36,48,39,0.25,topk_keep0p05_q6,0.05,6,15599,0.006218989845365286,0.004283946938812733,0.311150677950479,0.010961419902741909,0.007492327131330967,19.601331852691462,21.253832686392617,1.6525008337011542,ok,
dog:00036:00048:gap12,stage199_00023235,dog,12,36,48,39,0.25,topk_keep0p1_q6,0.1,6,29605,0.006218989845365286,0.003360987175256014,0.45956059443306596,0.010961419902741909,0.005775034427642822,19.601331852691462,22.384454223984612,2.7831223712931497,ok,
dog:00036:00048:gap12,stage199_00023235,dog,12,36,48,39,0.25,topk_keep0p2_q6,0.2,6,55423,0.006218989845365286,0.0021910241339355707,0.6476880991261892,0.010961419902741909,0.0036659459583461285,19.601331852691462,24.35813941491931,4.7568075622278485,ok,
