task_id,sequence,gap,left_index,target_index,right_index,normalized_time,stage165_selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,uniform_gap8_target_is_keyframe,stage165_adaptive_target_is_keyframe,uniform_gap4_target_is_keyframe,uniform_gap8_residual_payload_bytes,stage165_adaptive_residual_payload_bytes,uniform_gap4_residual_payload_bytes,stage165_adaptive_avoided_payload_bytes_vs_gap8,stage165_adaptive_false_negative_hard,stage165_adaptive_false_negative_high_payload
stage79_00026362,gold-fish,4,68,70,72,0.5,0,0,0,33.52168948008948,0.08349402248859406,195876.0,0.18680191040039062,0.1819382207679131,0,0,0,195876.0,195876.0,195876.0,0.0,0,0
stage79_00030525,shooting,4,16,19,20,0.75,1,0,1,35.31447864697665,0.1123308539390564,231959.0,0.22121334075927734,0.1819382207679131,0,1,0,231959.0,0.0,231959.0,231959.0,0,0
stage79_00024388,dance-twirl,8,16,21,24,0.625,1,0,1,30.979394772938843,0.16457435488700867,224250.0,0.21386146545410156,0.09762538675351434,0,1,0,224250.0,0.0,224250.0,224250.0,0,0
stage79_00021354,bike-packing,8,24,26,32,0.25,0,1,0,25.04849410359389,0.19343437254428864,159176.0,0.15180206298828125,0.09762538675351434,0,0,0,159176.0,159176.0,159176.0,0.0,1,0
stage79_00028529,mbike-trick,4,40,43,44,0.75,0,0,0,30.18331448094411,0.21612654626369476,162586.0,0.15505409240722656,0.1819382207679131,0,0,0,162586.0,162586.0,162586.0,0.0,0,0
stage79_00027040,india,8,24,27,32,0.375,1,1,1,31.727685844595296,0.23860138654708862,233735.0,0.22290706634521484,0.09762538675351434,0,1,0,233735.0,0.0,233735.0,233735.0,0,0
stage79_00029146,paragliding-launch,4,64,67,68,0.75,0,0,0,31.972203005555308,0.1762653887271881,209150.0,0.1994609832763672,0.1819382207679131,0,0,0,209150.0,209150.0,209150.0,0.0,0,0
stage79_00027490,kite-surf,8,0,6,8,0.75,1,0,1,31.864955098407933,0.10679827630519867,222185.0,0.21189212799072266,0.09762538675351434,0,1,0,222185.0,0.0,222185.0,222185.0,0,0
stage79_00024760,dog,8,40,42,48,0.25,1,0,1,34.10809642200885,0.14015968143939972,246464.0,0.23504638671875,0.09762538675351434,0,1,0,246464.0,0.0,246464.0,246464.0,0,0
stage79_00027957,libby,4,36,38,40,0.5,1,0,1,33.00996253806132,0.16725213825702667,257000.0,0.24509429931640625,0.1819382207679131,0,1,0,257000.0,0.0,257000.0,257000.0,0,0
stage79_00025059,dogs-jump,8,16,20,24,0.5,0,1,0,30.57019814002359,0.2771647870540619,167862.0,0.16008567810058594,0.09762538675351434,0,0,1,167862.0,167862.0,0.0,0.0,1,0
stage79_00029170,paragliding-launch,8,16,18,24,0.25,0,0,1,29.26343582576235,0.200591042637825,222111.0,0.2118215560913086,0.09762538675351434,0,0,0,222111.0,222111.0,222111.0,0.0,0,1
stage79_00021621,blackswan,8,8,10,16,0.25,0,0,1,29.820765753596852,0.1637483835220337,238863.0,0.2277975082397461,0.09762538675351434,0,0,0,238863.0,238863.0,238863.0,0.0,0,1
stage79_00030010,pigs,4,12,13,16,0.25,0,0,0,32.04078010586536,0.14738035202026367,185807.0,0.1771993637084961,0.1819382207679131,0,0,0,185807.0,185807.0,185807.0,0.0,0,0
stage79_00022356,breakdance,4,52,55,56,0.75,0,1,0,25.543566837921947,0.17139467597007751,126100.0,0.12025833129882812,0.1819382207679131,0,0,0,126100.0,126100.0,126100.0,0.0,1,0
