measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,selected_half,payload_bytes,stage184_selected_psnr,psnr,psnr_delta_vs_stage184,ssim,ms_ssim,lpips,status,error
residual::soapbox:00054:00052:00056,soapbox,54,52,56,4,0.5,uniform_gap4,1,left,250306,30.189964592194713,30.189964592194713,0.0,0.8945844769477844,0.9868460297584534,0.13370777666568756,ok,
residual::soapbox:00055:00048:00056,soapbox,55,48,56,8,0.875,uniform_gap8,1,right,236407,30.766839618318023,30.766839618318023,0.0,0.9130331873893738,0.9889905452728271,0.1131376326084137,ok,
residual::soapbox:00055:00049:00056,soapbox,55,49,56,7,0.8571428571428571,stage165_adaptive,1,right,236474,30.796251437631806,30.796251437631806,0.0,0.913309633731842,0.9890177845954895,0.11252553015947342,ok,
residual::soapbox:00055:00052:00056,soapbox,55,52,56,4,0.75,uniform_gap4,1,right,237543,30.752126907300013,30.752126907300013,0.0,0.9116544723510742,0.9888419508934021,0.11699141561985016,ok,
residual::soapbox:00057:00056:00060,soapbox,57,56,60,4,0.25,uniform_gap4,1,left,241088,30.876302263922433,30.876302263922433,0.0,0.9057374000549316,0.988345742225647,0.12019431591033936,ok,
residual::soapbox:00057:00056:00061,soapbox,57,56,61,5,0.2,stage165_adaptive,1,left,239141,30.89197326412926,30.89197326412926,0.0,0.9055440425872803,0.9883081316947937,0.12156227231025696,ok,
residual::soapbox:00057:00056:00064,soapbox,57,56,64,8,0.125,uniform_gap8,1,left,238776,30.851169105522697,30.851169105522697,0.0,0.9055926203727722,0.9882786273956299,0.1216898262500763,ok,
residual::soapbox:00058:00056:00060,soapbox,58,56,60,4,0.5,uniform_gap4,1,left,253200,30.413967977097972,30.413967977097972,0.0,0.8952800631523132,0.9867809414863586,0.13946375250816345,ok,
residual::soapbox:00058:00056:00061,soapbox,58,56,61,5,0.4,stage165_adaptive,1,left,248666,30.41772499861631,30.41772499861631,0.0,0.8955784440040588,0.9868671298027039,0.1397097110748291,ok,
residual::soapbox:00058:00056:00064,soapbox,58,56,64,8,0.25,uniform_gap8,1,left,246493,30.405338170703985,30.405338170703985,0.0,0.8960790038108826,0.9867697954177856,0.13840259611606598,ok,
residual::soapbox:00059:00056:00060,soapbox,59,56,60,4,0.75,uniform_gap4,1,right,241683,31.11983817924562,31.11983817924562,0.0,0.9122259616851807,0.9887193441390991,0.11721552908420563,ok,
residual::soapbox:00059:00056:00061,soapbox,59,56,61,5,0.6,stage165_adaptive,1,right,249396,30.412245090846287,30.412245090846287,0.0,0.8936489224433899,0.9863418936729431,0.1443054974079132,ok,
residual::soapbox:00059:00056:00064,soapbox,59,56,64,8,0.375,uniform_gap8,1,left,250290,29.85866125823055,29.85866125823055,0.0,0.8794364929199219,0.9838171601295471,0.1652437299489975,ok,
residual::soapbox:00060:00056:00061,soapbox,60,56,61,5,0.8,stage165_adaptive,1,right,240492,31.109450154848027,31.109450154848027,0.0,0.9097588062286377,0.9886044859886169,0.12662923336029053,ok,
residual::soapbox:00060:00056:00064,soapbox,60,56,64,8,0.5,uniform_gap8,1,left,255909,29.12961028274477,29.12961028274477,0.0,0.8535365462303162,0.9792707562446594,0.20844440162181854,ok,
residual::soapbox:00061:00056:00064,soapbox,61,56,64,8,0.625,uniform_gap8,1,right,253234,29.65079595424365,29.65079595424365,0.0,0.8649420738220215,0.9809995889663696,0.1943703293800354,ok,
residual::soapbox:00061:00060:00064,soapbox,61,60,64,4,0.25,uniform_gap4,1,left,241354,31.372204818679116,31.372204818679116,0.0,0.9153271317481995,0.9890256524085999,0.1194065511226654,ok,
residual::soapbox:00062:00056:00064,soapbox,62,56,64,8,0.75,uniform_gap8,1,right,247925,30.773904587415895,30.773904587415895,0.0,0.8942741751670837,0.9859777092933655,0.14985114336013794,ok,
residual::soapbox:00062:00060:00064,soapbox,62,60,64,4,0.5,uniform_gap4,1,left,252597,30.801713184398608,30.801713184398608,0.0,0.8951272964477539,0.986199140548706,0.1479758471250534,ok,
residual::soapbox:00062:00061:00064,soapbox,62,61,64,3,0.3333333333333333,stage165_adaptive,1,left,243351,31.58112834650902,31.58112834650902,0.0,0.9161565899848938,0.9890254139900208,0.11515165865421295,ok,
residual::soapbox:00063:00056:00064,soapbox,63,56,64,8,0.875,uniform_gap8,1,right,240875,31.626727368337697,31.626727368337697,0.0,0.9123436808586121,0.9888149499893188,0.12258630990982056,ok,
residual::soapbox:00063:00060:00064,soapbox,63,60,64,4,0.75,uniform_gap4,1,right,241636,31.540982611179324,31.540982611179324,0.0,0.9098425507545471,0.988574206829071,0.12327943742275238,ok,
residual::soapbox:00063:00061:00064,soapbox,63,61,64,3,0.6666666666666666,stage165_adaptive,1,right,243472,31.45847728135162,31.45847728135162,0.0,0.9079555869102478,0.9883058071136475,0.12729492783546448,ok,
residual::soapbox:00065:00064:00068,soapbox,65,64,68,4,0.25,uniform_gap4,1,left,242828,31.688934129767095,31.688934129767095,0.0,0.9199816584587097,0.9897682070732117,0.10808657109737396,ok,
residual::soapbox:00065:00064:00072,soapbox,65,64,72,8,0.125,stage165_adaptive uniform_gap8,2,left,241541,31.692482392661773,31.692482392661773,0.0,0.9205737113952637,0.9898088574409485,0.10853743553161621,ok,
residual::soapbox:00066:00064:00068,soapbox,66,64,68,4,0.5,uniform_gap4,1,left,252283,30.803776609913154,30.803776609913154,0.0,0.8931331634521484,0.9865673780441284,0.1494111269712448,ok,
residual::soapbox:00066:00064:00072,soapbox,66,64,72,8,0.25,stage165_adaptive uniform_gap8,2,left,249496,30.86290228378057,30.86290228378057,0.0,0.8959061503410339,0.9868220090866089,0.14608120918273926,ok,
residual::soapbox:00067:00064:00068,soapbox,67,64,68,4,0.75,uniform_gap4,1,right,241933,31.71034228194739,31.71034228194739,0.0,0.9189856052398682,0.9896221160888672,0.11188027262687683,ok,
residual::soapbox:00067:00064:00072,soapbox,67,64,72,8,0.375,stage165_adaptive uniform_gap8,2,left,253654,30.107052351998902,30.107052351998902,0.0,0.8754434585571289,0.9833843111991882,0.1800273060798645,ok,
residual::soapbox:00068:00064:00072,soapbox,68,64,72,8,0.5,stage165_adaptive uniform_gap8,2,right,253282,29.353232749842057,29.353232749842057,0.0,0.8572716116905212,0.9788179397583008,0.2063654512166977,ok,
residual::soapbox:00069:00064:00072,soapbox,69,64,72,8,0.625,stage165_adaptive uniform_gap8,2,right,250063,29.969774146062136,29.969774146062136,0.0,0.8764898777008057,0.9832342863082886,0.18300670385360718,ok,
residual::soapbox:00069:00068:00072,soapbox,69,68,72,4,0.25,uniform_gap4,1,left,240201,31.480277295824624,31.480277295824624,0.0,0.9168235659599304,0.9893677234649658,0.11545456945896149,ok,
residual::soapbox:00070:00064:00072,soapbox,70,64,72,8,0.75,stage165_adaptive uniform_gap8,2,right,244342,31.169327174581213,31.169327174581213,0.0,0.9085219502449036,0.98802250623703,0.13984504342079163,ok,
residual::soapbox:00070:00068:00072,soapbox,70,68,72,4,0.5,uniform_gap4,1,right,247006,30.81211540793499,30.81211540793499,0.0,0.898949921131134,0.9868379235267639,0.15510934591293335,ok,
residual::soapbox:00071:00064:00072,soapbox,71,64,72,8,0.875,stage165_adaptive uniform_gap8,2,right,238301,31.69084557809251,31.69084557809251,0.0,0.92435622215271,0.9902724623680115,0.10838799923658371,ok,
residual::soapbox:00071:00068:00072,soapbox,71,68,72,4,0.75,uniform_gap4,1,right,238944,31.638318721163884,31.638318721163884,0.0,0.923041045665741,0.9900662302970886,0.10980224609375,ok,
residual::soapbox:00073:00072:00076,soapbox,73,72,76,4,0.25,uniform_gap4,1,left,238797,31.323448134646306,31.323448134646306,0.0,0.9206643104553223,0.9900515675544739,0.11026579141616821,ok,
residual::soapbox:00073:00072:00078,soapbox,73,72,78,6,0.16666666666666666,stage165_adaptive uniform_gap6,2,left,238788,31.356120948740003,31.356120948740003,0.0,0.9220065474510193,0.9901506900787354,0.11106124520301819,ok,
residual::soapbox:00073:00072:00080,soapbox,73,72,80,8,0.125,uniform_gap8,1,left,238039,31.424406748188744,31.424406748188744,0.0,0.9234423637390137,0.9903227090835571,0.10920348763465881,ok,
residual::soapbox:00074:00072:00076,soapbox,74,72,76,4,0.5,uniform_gap4,1,right,243643,30.63248655734967,30.63248655734967,0.0,0.9075741171836853,0.9884541630744934,0.12996625900268555,ok,
residual::soapbox:00074:00072:00078,soapbox,74,72,78,6,0.3333333333333333,stage165_adaptive uniform_gap6,2,left,246978,30.452582387102698,30.452582387102698,0.0,0.9037213921546936,0.9876906275749207,0.14315912127494812,ok,
residual::soapbox:00074:00072:00080,soapbox,74,72,80,8,0.25,uniform_gap8,1,left,246454,30.67931188269671,30.67931188269671,0.0,0.9090630412101746,0.9884482026100159,0.13440823554992676,ok,
residual::soapbox:00075:00072:00076,soapbox,75,72,76,4,0.75,uniform_gap4,1,right,234164,31.039904834730237,31.039904834730237,0.0,0.9174129366874695,0.9898691773414612,0.11091107875108719,ok,
residual::soapbox:00075:00072:00078,soapbox,75,72,78,6,0.5,stage165_adaptive uniform_gap6,2,right,251671,29.58541825853032,29.58541825853032,0.0,0.8790073394775391,0.9839125871658325,0.18216842412948608,ok,
residual::soapbox:00075:00072:00080,soapbox,75,72,80,8,0.375,uniform_gap8,1,left,250593,29.828336720527254,29.828336720527254,0.0,0.8850993514060974,0.9848814010620117,0.16974633932113647,ok,
residual::soapbox:00076:00072:00078,soapbox,76,72,78,6,0.6666666666666666,stage165_adaptive uniform_gap6,2,right,246488,30.873862489388465,30.873862489388465,0.0,0.9092394709587097,0.9887669682502747,0.13623002171516418,ok,
residual::soapbox:00076:00072:00080,soapbox,76,72,80,8,0.5,uniform_gap8,1,right,252424,29.721169045566036,29.721169045566036,0.0,0.8816216588020325,0.9840099811553955,0.18214011192321777,ok,
residual::soapbox:00077:00072:00078,soapbox,77,72,78,6,0.8333333333333334,stage165_adaptive uniform_gap6,2,right,238890,31.64685103961263,31.64685103961263,0.0,0.9262610077857971,0.9907974600791931,0.1101624071598053,ok,
residual::soapbox:00077:00072:00080,soapbox,77,72,80,8,0.625,uniform_gap8,1,right,249505,30.625179474430727,30.625179474430727,0.0,0.9025008082389832,0.9875478148460388,0.15283314883708954,ok,
residual::soapbox:00077:00076:00080,soapbox,77,76,80,4,0.25,uniform_gap4,1,left,232843,31.52663604861269,31.52663604861269,0.0,0.9229033589363098,0.9904844760894775,0.11194507777690887,ok,
residual::soapbox:00078:00072:00080,soapbox,78,72,80,8,0.75,uniform_gap8,1,right,243629,31.189534213328315,31.189534213328315,0.0,0.9147575497627258,0.9893245100975037,0.12852871417999268,ok,
residual::soapbox:00078:00076:00080,soapbox,78,76,80,4,0.5,uniform_gap4,1,right,246989,30.959845887599485,30.959845887599485,0.0,0.908282458782196,0.9883947968482971,0.1434444785118103,ok,
residual::soapbox:00079:00072:00080,soapbox,79,72,80,8,0.875,uniform_gap8,1,right,234729,31.566514249810417,31.566514249810417,0.0,0.9272356033325195,0.9907374978065491,0.11241929233074188,ok,
residual::soapbox:00079:00076:00080,soapbox,79,76,80,4,0.75,uniform_gap4,1,right,236659,31.463718463801914,31.463718463801914,0.0,0.9249851703643799,0.9904800653457642,0.11589350551366806,ok,
residual::soapbox:00079:00078:00080,soapbox,79,78,80,2,0.5,stage165_adaptive uniform_gap2,2,right,235956,31.38823954821458,31.38823954821458,0.0,0.9231605529785156,0.9903115034103394,0.1167520061135292,ok,
residual::soapbox:00081:00080:00084,soapbox,81,80,84,4,0.25,uniform_gap4,1,left,233081,31.19293577748457,31.19293577748457,0.0,0.9178757667541504,0.9895748496055603,0.12393079698085785,ok,
residual::soapbox:00081:00080:00088,soapbox,81,80,88,8,0.125,stage165_adaptive uniform_gap8,2,left,232105,31.33273706315983,31.33273706315983,0.0,0.9210829734802246,0.9900041222572327,0.11857666075229645,ok,
residual::soapbox:00082:00080:00084,soapbox,82,80,84,4,0.5,uniform_gap4,1,left,243058,30.55354447372366,30.55354447372366,0.0,0.9035325050354004,0.9872774481773376,0.15482820570468903,ok,
residual::soapbox:00082:00080:00088,soapbox,82,80,88,8,0.25,stage165_adaptive uniform_gap8,2,left,240563,31.02248855003171,31.02248855003171,0.0,0.9153296947479248,0.9888841509819031,0.1312544047832489,ok,
residual::soapbox:00083:00080:00084,soapbox,83,80,84,4,0.75,uniform_gap4,1,right,218839,31.11846534342559,31.11846534342559,0.0,0.9175446629524231,0.9892765879631042,0.12196540087461472,ok,
