method,codec,reference_gap,side_bits,keep_fraction,task_count,mean_side_info_mib_per_intermediate_frame,mean_baseline_anchor_mse,mean_residual_anchor_mse_after_sideinfo,mean_captured_energy_fraction,mean_residual_mse_reduction_fraction
stage65_adapter,q10,8,6,0.1,11,0.04130411148071289,0.027680583211369722,0.02015294904568071,0.2691010478965159,0.2691010478965159
stage65_adapter,q10,8,6,0.25,11,0.103271484375,0.027680583211369722,0.014713920867063319,0.4627969296500407,0.4627969296500407
stage65_adapter,q10,8,6,1.0,11,0.4130859375,0.027680583211369722,1.852514212133353e-10,1.000000018885879,0.9999999945159366
stage65_adapter,q10,8,8,0.0,11,0.0,0.027680583211369722,0.027680583211369722,0.0,0.0
stage65_adapter,q10,8,8,0.01,11,0.005278587341308594,0.027680583211369722,0.02631123664426359,0.0499133225625847,0.0499133225625847
stage65_adapter,q10,8,8,0.05,11,0.02636432647705078,0.027680583211369722,0.022909117247489594,0.17172700482856745,0.1717270048285674
stage65_adapter,q10,8,8,0.1,11,0.05272865295410156,0.027680583211369722,0.02015294904568071,0.2691010478965159,0.2691010478965159
stage65_adapter,q10,8,8,0.25,11,0.1318359375,0.027680583211369722,0.014713920867063319,0.4627969296500407,0.4627969296500407
stage65_adapter,q10,8,8,1.0,11,0.52734375,0.027680583211369722,1.852514212133353e-10,1.000000018885879,0.9999999945159366
stage65_adapter,q10,16,6,0.0,7,0.0,0.030770816791334143,0.030770816791334143,0.0,0.0
stage65_adapter,q10,16,6,0.01,7,0.0041348934173583984,0.030770816791334143,0.029499788783372397,0.04006104891079527,0.04006104891079522
stage65_adapter,q10,16,6,0.05,7,0.020652055740356445,0.030770816791334143,0.026233487804585173,0.13785117088294413,0.13785117088294413
stage65_adapter,q10,16,6,0.1,7,0.04130411148071289,0.030770816791334143,0.023223309799282832,0.22931270065312306,0.2293127006531231
stage65_adapter,q10,16,6,0.25,7,0.103271484375,0.030770816791334143,0.016884595919878058,0.42885934641670836,0.42885934641670836
stage65_adapter,q10,16,6,1.0,7,0.4130859375,0.030770816791334143,5.822187523847681e-10,0.9999999926515605,0.9999999799222307
stage65_adapter,q10,16,8,0.0,7,0.0,0.030770816791334143,0.030770816791334143,0.0,0.0
stage65_adapter,q10,16,8,0.01,7,0.005278587341308594,0.030770816791334143,0.029499788783372397,0.04006104891079527,0.04006104891079522
stage65_adapter,q10,16,8,0.05,7,0.02636432647705078,0.030770816791334143,0.026233487804585173,0.13785117088294413,0.13785117088294413
stage65_adapter,q10,16,8,0.1,7,0.05272865295410156,0.030770816791334143,0.023223309799282832,0.22931270065312306,0.2293127006531231
stage65_adapter,q10,16,8,0.25,7,0.1318359375,0.030770816791334143,0.016884595919878058,0.42885934641670836,0.42885934641670836
stage65_adapter,q10,16,8,1.0,7,0.52734375,0.030770816791334143,5.822187523847681e-10,0.9999999926515605,0.9999999799222307
stage65_adapter,q12,4,6,0.0,9,0.0,0.027810904148750266,0.027810904148750266,0.0,0.0
stage65_adapter,q12,4,6,0.01,9,0.0041348934173583984,0.027810904148750266,0.026472903851769928,0.048655802927507666,0.04865580292750768
stage65_adapter,q12,4,6,0.05,9,0.020652055740356445,0.027810904148750266,0.023370920111763966,0.16087141455092324,0.16087141455092324
stage65_adapter,q12,4,6,0.1,9,0.04130411148071289,0.027810904148750266,0.02086805861446819,0.25083170952874323,0.25083170952874323
stage65_adapter,q12,4,6,0.25,9,0.103271484375,0.027810904148750266,0.015710881519408193,0.4357608051236221,0.4357608051236221
stage65_adapter,q12,4,6,1.0,9,0.4130859375,0.027810904148750266,2.2641840370518757e-10,1.000000022407517,0.9999999909648598
stage65_adapter,q12,4,8,0.0,9,0.0,0.027810904148750266,0.027810904148750266,0.0,0.0
stage65_adapter,q12,4,8,0.01,9,0.005278587341308594,0.027810904148750266,0.026472903851769928,0.048655802927507666,0.04865580292750768
stage65_adapter,q12,4,8,0.05,9,0.02636432647705078,0.027810904148750266,0.023370920111763966,0.16087141455092324,0.16087141455092324
stage65_adapter,q12,4,8,0.1,9,0.05272865295410156,0.027810904148750266,0.02086805861446819,0.25083170952874323,0.25083170952874323
stage65_adapter,q12,4,8,0.25,9,0.1318359375,0.027810904148750266,0.015710881519408193,0.4357608051236221,0.4357608051236221
stage65_adapter,q12,4,8,1.0,9,0.52734375,0.027810904148750266,2.2641840370518757e-10,1.000000022407517,0.9999999909648598
stage65_adapter,q12,8,6,0.0,9,0.0,0.02977298444945362,0.02977298444945362,0.0,0.0
stage65_adapter,q12,8,6,0.01,9,0.0041348934173583984,0.02977298444945362,0.028429066106068553,0.04496508756832855,0.04496508756832854
stage65_adapter,q12,8,6,0.05,9,0.020652055740356445,0.02977298444945362,0.02493382499315347,0.16112760825340208,0.16112760825340205
stage65_adapter,q12,8,6,0.1,9,0.04130411148071289,0.02977298444945362,0.021914635911399933,0.26118229986966074,0.26118229986966074
stage65_adapter,q12,8,6,0.25,9,0.103271484375,0.02977298444945362,0.015955118711857376,0.45968361079173065,0.45968361079173076
stage65_adapter,q12,8,6,1.0,9,0.4130859375,0.02977298444945362,0.0,1.0000000075354114,1.0
stage65_adapter,q12,8,8,0.0,9,0.0,0.02977298444945362,0.02977298444945362,0.0,0.0
stage65_adapter,q12,8,8,0.01,9,0.005278587341308594,0.02977298444945362,0.028429066106068553,0.04496508756832855,0.04496508756832854
stage65_adapter,q12,8,8,0.05,9,0.02636432647705078,0.02977298444945362,0.02493382499315347,0.16112760825340208,0.16112760825340205
stage65_adapter,q12,8,8,0.1,9,0.05272865295410156,0.02977298444945362,0.021914635911399933,0.26118229986966074,0.26118229986966074
stage65_adapter,q12,8,8,0.25,9,0.1318359375,0.02977298444945362,0.015955118711857376,0.45968361079173065,0.45968361079173076
stage65_adapter,q12,8,8,1.0,9,0.52734375,0.02977298444945362,0.0,1.0000000075354114,1.0
stage65_adapter,q12,16,6,0.0,12,0.0,0.030559006749394952,0.030559006749394952,0.0,0.0
stage65_adapter,q12,16,6,0.01,12,0.0041348934173583984,0.030559006749394952,0.029251096202352448,0.04365221208405746,0.04365221208405745
stage65_adapter,q12,16,6,0.05,12,0.020652055740356445,0.030559006749394952,0.025893136296431904,0.15217509121609488,0.15217509121609485
stage65_adapter,q12,16,6,0.1,12,0.04130411148071289,0.030559006749394952,0.022938414474158546,0.24572836645426546,0.24572836645426543
stage65_adapter,q12,16,6,0.25,12,0.103271484375,0.030559006749394952,0.016843607367953005,0.4386825171223625,0.4386825171223625
stage65_adapter,q12,16,6,1.0,12,0.4130859375,0.030559006749394952,8.490690138944534e-10,0.9999999998590763,0.9999999767979754
stage65_adapter,q12,16,8,0.0,12,0.0,0.030559006749394952,0.030559006749394952,0.0,0.0
stage65_adapter,q12,16,8,0.01,12,0.005278587341308594,0.030559006749394952,0.029251096202352448,0.04365221208405746,0.04365221208405745
stage65_adapter,q12,16,8,0.05,12,0.02636432647705078,0.030559006749394952,0.025893136296431904,0.15217509121609488,0.15217509121609485
stage65_adapter,q12,16,8,0.1,12,0.05272865295410156,0.030559006749394952,0.022938414474158546,0.24572836645426546,0.24572836645426543
stage65_adapter,q12,16,8,0.25,12,0.1318359375,0.030559006749394952,0.016843607367953005,0.4386825171223625,0.4386825171223625
stage65_adapter,q12,16,8,1.0,12,0.52734375,0.030559006749394952,8.490690138944534e-10,0.9999999998590763,0.9999999767979754
