task_id,sequence,codec,reference_gap,target_index,method,side_bits,keep_fraction,keep_gaussians,side_info_mib_per_intermediate_frame,baseline_anchor_mse,residual_anchor_mse_after_sideinfo,captured_energy_fraction,residual_mse_reduction_fraction
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,1.0,36864,0.52734375,0.030174728132720686,0.0,1.0,1.0
stage79_00027209,judo,q10,8,27,linear,6,0.0,0,0.0,0.00228856720476069,0.00228856720476069,0.0,0.0
stage79_00027209,judo,q10,8,27,linear,6,0.01,369,0.0041348934173583984,0.00228856720476069,0.0016567493096376078,0.27607574460071405,0.27607574460071405
stage79_00027209,judo,q10,8,27,linear,6,0.05,1843,0.020652055740356445,0.00228856720476069,0.0007608369884327946,0.6675487672592278,0.6675487672592278
stage79_00027209,judo,q10,8,27,linear,6,0.1,3686,0.04130411148071289,0.00228856720476069,0.00036225843633341993,0.8417095047155059,0.8417095047155059
stage79_00027209,judo,q10,8,27,linear,6,0.25,9216,0.103271484375,0.00228856720476069,3.7118919894226594e-05,0.9837807166785351,0.9837807166785351
stage79_00027209,judo,q10,8,27,linear,6,1.0,36864,0.4130859375,0.00228856720476069,2.5472070416833603e-10,0.999999888698613,0.999999888698613
stage79_00027209,judo,q10,8,27,linear,8,0.0,0,0.0,0.00228856720476069,0.00228856720476069,0.0,0.0
stage79_00027209,judo,q10,8,27,linear,8,0.01,369,0.005278587341308594,0.00228856720476069,0.0016567493096376078,0.27607574460071405,0.27607574460071405
stage79_00027209,judo,q10,8,27,linear,8,0.05,1843,0.02636432647705078,0.00228856720476069,0.0007608369884327946,0.6675487672592278,0.6675487672592278
stage79_00027209,judo,q10,8,27,linear,8,0.1,3686,0.05272865295410156,0.00228856720476069,0.00036225843633341993,0.8417095047155059,0.8417095047155059
stage79_00027209,judo,q10,8,27,linear,8,0.25,9216,0.1318359375,0.00228856720476069,3.7118919894226594e-05,0.9837807166785351,0.9837807166785351
stage79_00027209,judo,q10,8,27,linear,8,1.0,36864,0.52734375,0.00228856720476069,2.5472070416833603e-10,0.999999888698613,0.999999888698613
stage79_00027209,judo,q10,8,27,stage65_adapter,6,0.0,0,0.0,0.022614902920193143,0.022614902920193143,0.0,0.0
stage79_00027209,judo,q10,8,27,stage65_adapter,6,0.01,369,0.0041348934173583984,0.022614902920193143,0.021736683626460213,0.038833653048705105,0.03883365304870512
stage79_00027209,judo,q10,8,27,stage65_adapter,6,0.05,1843,0.020652055740356445,0.022614902920193143,0.019836428328457043,0.12286033690001669,0.12286033690001663
stage79_00027209,judo,q10,8,27,stage65_adapter,6,0.1,3686,0.04130411148071289,0.022614902920193143,0.018187213147807326,0.19578637096126003,0.19578637096126006
stage79_00027209,judo,q10,8,27,stage65_adapter,6,0.25,9216,0.103271484375,0.022614902920193143,0.014291244184868967,0.3680607767673356,0.3680607767673356
stage79_00027209,judo,q10,8,27,stage65_adapter,6,1.0,36864,0.4130859375,0.022614902920193143,0.0,1.0,1.0
stage79_00027209,judo,q10,8,27,stage65_adapter,8,0.0,0,0.0,0.022614902920193143,0.022614902920193143,0.0,0.0
stage79_00027209,judo,q10,8,27,stage65_adapter,8,0.01,369,0.005278587341308594,0.022614902920193143,0.021736683626460213,0.038833653048705105,0.03883365304870512
stage79_00027209,judo,q10,8,27,stage65_adapter,8,0.05,1843,0.02636432647705078,0.022614902920193143,0.019836428328457043,0.12286033690001669,0.12286033690001663
stage79_00027209,judo,q10,8,27,stage65_adapter,8,0.1,3686,0.05272865295410156,0.022614902920193143,0.018187213147807326,0.19578637096126003,0.19578637096126006
stage79_00027209,judo,q10,8,27,stage65_adapter,8,0.25,9216,0.1318359375,0.022614902920193143,0.014291244184868967,0.3680607767673356,0.3680607767673356
stage79_00027209,judo,q10,8,27,stage65_adapter,8,1.0,36864,0.52734375,0.022614902920193143,0.0,1.0,1.0
stage79_00021595,blackswan,q12,4,25,linear,6,0.0,0,0.0,0.00729263542044876,0.00729263542044876,0.0,0.0
stage79_00021595,blackswan,q12,4,25,linear,6,0.01,369,0.0041348934173583984,0.00729263542044876,0.006240770475477235,0.14423660094429858,0.14423660094429847
stage79_00021595,blackswan,q12,4,25,linear,6,0.05,1843,0.020652055740356445,0.00729263542044876,0.0040916291057554064,0.4389368356078297,0.4389368356078297
stage79_00021595,blackswan,q12,4,25,linear,6,0.1,3686,0.04130411148071289,0.00729263542044876,0.0027537692306388137,0.6223903881281154,0.6223903881281154
stage79_00021595,blackswan,q12,4,25,linear,6,0.25,9216,0.103271484375,0.00729263542044876,0.0010492078259459927,0.8561277555430806,0.8561277555430806
stage79_00021595,blackswan,q12,4,25,linear,6,1.0,36864,0.4130859375,0.00729263542044876,0.0,1.0,1.0
stage79_00021595,blackswan,q12,4,25,linear,8,0.0,0,0.0,0.00729263542044876,0.00729263542044876,0.0,0.0
stage79_00021595,blackswan,q12,4,25,linear,8,0.01,369,0.005278587341308594,0.00729263542044876,0.006240770475477235,0.14423660094429858,0.14423660094429847
stage79_00021595,blackswan,q12,4,25,linear,8,0.05,1843,0.02636432647705078,0.00729263542044876,0.0040916291057554064,0.4389368356078297,0.4389368356078297
