policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
always_shared_energy_regression,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,shared_energy_regression,24.733364599901346,26.056626574237647,25.75816784735208,26.489931719824217,-0.29845872688556696,1.024803247450734,-0.7317638724721363,0.5108518600463867,0.15450741350650787,0.7890040874481201
always_shared_topk_bce,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,shared_topk_bce,24.733364599901346,26.056626574237647,25.787361611111905,26.489931719824217,-0.26926496312574244,1.0539970112105586,-0.7025701087123117,0.5387954115867615,0.1560954749584198,0.7971136569976807
stage106_fixed_group_policy,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,endpoint_diff_baseline,24.733364599901346,26.056626574237647,26.056626574237647,26.489931719824217,0.0,1.323261974336301,-0.4333051455865693,0.3526858389377594,0.13307540118694305,0.6795598268508911
group_best_mean_psnr,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,endpoint_diff_baseline,24.733364599901346,26.056626574237647,26.056626574237647,26.489931719824217,0.0,1.323261974336301,-0.4333051455865693,0.3526858389377594,0.13307540118694305,0.6795598268508911
oracle_task_best,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,endpoint_diff_baseline,24.733364599901346,26.056626574237647,26.056626574237647,26.489931719824217,0.0,1.323261974336301,-0.4333051455865693,0.3526858389377594,0.13307540118694305,0.6795598268508911
endpoint_only,stage97_00015006,stage79_00030106,pigs,8,54,linear,endpoint_diff_baseline,23.15305038686011,24.31196663555736,24.31196663555736,26.125994488471385,0.0,1.1589162486972526,-1.8140278529140232,0.24416711926460266,0.21203836798667908,0.36129626631736755
always_shared_energy_regression,stage97_00015006,stage79_00030106,pigs,8,54,linear,shared_energy_regression,23.15305038686011,24.31196663555736,24.457672976977296,26.125994488471385,0.14570634141993466,1.3046225901171873,-1.6683215114940886,0.33396634459495544,0.2753286361694336,0.4691377878189087
always_shared_topk_bce,stage97_00015006,stage79_00030106,pigs,8,54,linear,shared_topk_bce,23.15305038686011,24.31196663555736,24.247422402127732,26.125994488471385,-0.06454423342962912,1.0943720152676235,-1.8785720863436524,0.30466631054878235,0.26276320219039917,0.4477272927761078
stage106_fixed_group_policy,stage97_00015006,stage79_00030106,pigs,8,54,linear,shared_energy_regression,23.15305038686011,24.31196663555736,24.457672976977296,26.125994488471385,0.14570634141993466,1.3046225901171873,-1.6683215114940886,0.33396634459495544,0.2753286361694336,0.4691377878189087
group_best_mean_psnr,stage97_00015006,stage79_00030106,pigs,8,54,linear,shared_energy_regression,23.15305038686011,24.31196663555736,24.457672976977296,26.125994488471385,0.14570634141993466,1.3046225901171873,-1.6683215114940886,0.33396634459495544,0.2753286361694336,0.4691377878189087
oracle_task_best,stage97_00015006,stage79_00030106,pigs,8,54,linear,shared_energy_regression,23.15305038686011,24.31196663555736,24.457672976977296,26.125994488471385,0.14570634141993466,1.3046225901171873,-1.6683215114940886,0.33396634459495544,0.2753286361694336,0.4691377878189087
endpoint_only,stage97_00015006,stage79_00030106,pigs,8,54,stage65_adapter,endpoint_diff_baseline,23.691248437935318,24.732559649663397,24.732559649663397,25.941881398863778,0.0,1.041311211728079,-1.209321749200381,0.24253933131694794,0.12169074267148972,0.6103881597518921
always_shared_energy_regression,stage97_00015006,stage79_00030106,pigs,8,54,stage65_adapter,shared_energy_regression,23.691248437935318,24.732559649663397,24.63811630031598,25.941881398863778,-0.0944433493474186,0.9468678623806603,-1.3037650985477995,0.47205641865730286,0.15254974365234375,0.7651737332344055
always_shared_topk_bce,stage97_00015006,stage79_00030106,pigs,8,54,stage65_adapter,shared_topk_bce,23.691248437935318,24.732559649663397,24.555923506158614,25.941881398863778,-0.1766361435047834,0.8646750682232955,-1.3859578927051643,0.47232773900032043,0.15090695023536682,0.7569336295127869
