stage97_task_id,source_task_id,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,base_psnr,sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_base,gap_to_teacher_oracle_psnr
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,linear,shared_energy_regression,0.1,3686,0.4758545756340027,0.34661802649497986,0.745820939540863,0.46474698185920715,19.711438830324294,21.203093989468954,23.628130763557333,1.4916551591446598,-2.4250367740883796
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2630600035190582,0.2630600035190582,1.0,19.664649438394452,22.430394335878077,22.430394335878077,2.765744897483625,0.0
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.48372218012809753,0.16363321244716644,0.2630600035190582,0.6220375895500183,19.664649438394452,20.817987895903237,22.430394335878077,1.1533384575087844,-1.6124064399748406
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,stage65_adapter,shared_topk_bce,0.1,3686,0.5002713203430176,0.1725151538848877,0.2630600035190582,0.65580153465271,19.664649438394452,20.512958235058182,22.430394335878077,0.8483087966637299,-1.917436100819895
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,stage65_adapter,shared_energy_regression,0.1,3686,0.5029842853546143,0.1754552125930786,0.2630600035190582,0.6669779419898987,19.664649438394452,20.626536530178438,22.430394335878077,0.9618870917839857,-1.8038578056996393
stage97_00012909,stage79_00025966,goat,q12,8,14,linear,teacher_oracle_topk,0.1,3686,1.0,0.45689862966537476,0.45689862966537476,1.0,17.393866338955405,19.775721821919696,19.775721821919696,2.3818554829642906,0.0
stage97_00012909,stage79_00025966,goat,q12,8,14,linear,endpoint_diff_baseline,0.1,3686,0.15952251851558685,0.13405676186084747,0.45689862966537476,0.2934059202671051,17.393866338955405,18.121728867293804,19.775721821919696,0.7278625283383988,-1.6539929546258918
stage97_00012909,stage79_00025966,goat,q12,8,14,linear,shared_topk_bce,0.1,3686,0.20048832893371582,0.17100955545902252,0.45689862966537476,0.3742833733558655,17.393866338955405,18.153086989083434,19.775721821919696,0.7592206501280288,-1.6226348328362619
stage97_00012909,stage79_00025966,goat,q12,8,14,linear,shared_energy_regression,0.1,3686,0.18176884949207306,0.16409918665885925,0.45689862966537476,0.35915884375572205,17.393866338955405,18.100577385110853,19.775721821919696,0.7067110461554478,-1.6751444368088428
stage97_00012909,stage79_00025966,goat,q12,8,14,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2376917004585266,0.2376917004585266,1.0,18.380391856347483,20.484616917907754,20.484616917907754,2.104225061560271,0.0
