sample,reference_gap,method,delta_all_psnr,delta_middle_psnr,candidate_all_psnr,uniform_all_psnr,oracle_all_psnr,oracle_delta_all_psnr,keyframe_count,exact_uniform,exact_oracle,jaccard_to_uniform,jaccard_to_oracle,position_mae_to_uniform,position_mae_to_oracle,max_segment_ratio,mean_abs_len_error_ratio,segment_std_ratio,selector_cost,candidate_indices,uniform_indices,oracle_indices
meetroom,16,full_raw_log_prior_0p1,-0.4152974337125741,-0.4503275355586318,25.577244783872224,25.9925422175848,26.038275635725196,0.04573341814039722,6,false,false,0.2,0.2,7.333333333333333,6.666666666666667,1.9375,0.375,0.48088460154178364,9.606739588383954,0 31 44 59 70 80,0 16 32 48 64 80,0 16 34 50 64 80
meetroom,16,length_sample_z_rank_prior_0p1,0.0,0.0,25.9925422175848,25.9925422175848,26.038275635725196,0.04573341814039722,6,true,false,1.0,0.5,0.0,0.6666666666666666,1.0,0.0,0.0,2.2847943867068086,0 16 32 48 64 80,0 16 32 48 64 80,0 16 34 50 64 80
meetroom,16,full_sample_z_rank,-1.296348980127295,-1.4050664039428682,24.696193237457503,25.9925422175848,26.038275635725196,0.04573341814039722,6,false,false,0.3333333333333333,0.2,7.333333333333333,7.333333333333333,2.0,0.75,0.8272696053887149,2.750600890983904,0 29 46 47 48 80,0 16 32 48 64 80,0 16 34 50 64 80
meetroom,16,full_sample_z_rank_prior_0p1,-0.36706375153085347,-0.39872398438902223,25.625478466053945,25.9925422175848,26.038275635725196,0.04573341814039722,6,false,false,0.3333333333333333,0.3333333333333333,3.3333333333333335,4.0,1.5,0.2,0.27386127875258304,3.042479796078112,0 16 28 40 56 80,0 16 32 48 64 80,0 16 34 50 64 80
meetroom,16,full_sample_z_rank_prior_0p3,0.011173527212974932,0.010047379193775186,26.003715744797773,25.9925422175848,26.038275635725196,0.04573341814039722,6,false,false,0.2,0.2,2.3333333333333335,1.6666666666666667,1.125,0.1,0.13693063937629152,3.086312206478039,0 18 36 52 68 80,0 16 32 48 64 80,0 16 34 50 64 80
n3dv,4,length_raw_log_prior_0p1,0.0,0.0,30.429613143857733,30.429613143857733,30.429613143857733,0.0,21,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.016062230850162784,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,4,full_raw_log_prior_0p1,0.0,0.0,30.429613143857733,30.429613143857733,30.429613143857733,0.0,21,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0837682247088186e-05,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,4,length_sample_z_rank_prior_0p1,0.0,0.0,30.429613143857733,30.429613143857733,30.429613143857733,0.0,21,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.8202204972191571,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,4,full_sample_z_rank,-0.27458992677499694,-0.3856783074551835,30.155023217082736,30.429613143857733,30.429613143857733,0.0,21,false,false,0.07692307692307693,0.07692307692307693,10.666666666666666,10.666666666666666,2.0,0.75,0.7745966692414834,2.780972765213468,0 6 14 21 26 27 33 41 49 57 65 66 67 68 69 70 71 77 78 79 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,4,full_sample_z_rank_prior_0p1,-0.05747334981325025,-0.08840457040911787,30.372139794044482,30.429613143857733,30.429613143857733,0.0,21,false,false,0.13513513513513514,0.13513513513513514,0.7619047619047619,0.7619047619047619,1.5,0.125,0.19364916731037085,3.2087142989147366,0 5 9 12 17 21 25 29 33 37 41 45 49 53 56 59 64 67 71 77 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
