fold,policy,stage97_task_id,source_task_id,sequence,base_method,reference_gap,target_index,oracle_candidate,selected_candidate,selected_sideinfo_psnr,endpoint_sideinfo_psnr,oracle_task_best_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,gap_to_oracle_task_best,gap_to_teacher_oracle,selection_correct
0,stage106_fixed_group_policy,stage97_00013605,stage79_00027268,judo,stage65_adapter,8,1,shared_topk_bce,endpoint_diff_baseline,27.620432702929154,27.620432702929154,27.986074228321417,27.76472618160672,0.0,-0.36564152539226313,-0.14429347867756448,0
0,metadata_mlp_cv,stage97_00013605,stage79_00027268,judo,stage65_adapter,8,1,shared_topk_bce,shared_energy_regression,27.93200838948325,27.620432702929154,27.986074228321417,27.76472618160672,0.3115756865540966,-0.05406583883816651,0.16728220787653214,0
0,anchor_stat_mlp_cv,stage97_00013605,stage79_00027268,judo,stage65_adapter,8,1,shared_topk_bce,shared_energy_regression,27.93200838948325,27.620432702929154,27.986074228321417,27.76472618160672,0.3115756865540966,-0.05406583883816651,0.16728220787653214,0
0,oracle_task_best,stage97_00013605,stage79_00027268,judo,stage65_adapter,8,1,shared_topk_bce,shared_topk_bce,27.986074228321417,27.620432702929154,27.986074228321417,27.76472618160672,0.36564152539226313,0.0,0.22134804671469865,1
0,endpoint_only,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.23026224196114,17.23026224196114,17.23026224196114,19.53732658684918,0.0,0.0,-2.3070643448880404,1
0,train_fold_group_policy,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,shared_energy_regression,17.116129234954336,17.23026224196114,17.23026224196114,19.53732658684918,-0.11413300700680296,-0.11413300700680296,-2.4211973518948433,0
0,stage106_fixed_group_policy,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,shared_energy_regression,17.116129234954336,17.23026224196114,17.23026224196114,19.53732658684918,-0.11413300700680296,-0.11413300700680296,-2.4211973518948433,0
0,metadata_mlp_cv,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,shared_energy_regression,17.116129234954336,17.23026224196114,17.23026224196114,19.53732658684918,-0.11413300700680296,-0.11413300700680296,-2.4211973518948433,0
0,anchor_stat_mlp_cv,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.23026224196114,17.23026224196114,17.23026224196114,19.53732658684918,0.0,0.0,-2.3070643448880404,1
0,oracle_task_best,stage97_00013842,stage79_00027745,lab-coat,linear,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.23026224196114,17.23026224196114,17.23026224196114,19.53732658684918,0.0,0.0,-2.3070643448880404,1
0,endpoint_only,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.708412246077483,17.708412246077483,17.708412246077483,19.764573879492005,0.0,0.0,-2.056161633414522,1
0,train_fold_group_policy,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.708412246077483,17.708412246077483,17.708412246077483,19.764573879492005,0.0,0.0,-2.056161633414522,1
0,stage106_fixed_group_policy,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.708412246077483,17.708412246077483,17.708412246077483,19.764573879492005,0.0,0.0,-2.056161633414522,1
0,metadata_mlp_cv,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,shared_energy_regression,17.52343483432463,17.708412246077483,17.708412246077483,19.764573879492005,-0.18497741175285398,-0.18497741175285398,-2.241139045167376,0
0,anchor_stat_mlp_cv,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.708412246077483,17.708412246077483,17.708412246077483,19.764573879492005,0.0,0.0,-2.056161633414522,1
0,oracle_task_best,stage97_00013842,stage79_00027745,lab-coat,stage65_adapter,8,26,endpoint_diff_baseline,endpoint_diff_baseline,17.708412246077483,17.708412246077483,17.708412246077483,19.764573879492005,0.0,0.0,-2.056161633414522,1
0,endpoint_only,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,endpoint_diff_baseline,25.365522178496946,25.365522178496946,25.67521473924408,27.216558426815965,0.0,-0.30969256074713414,-1.8510362483190193,0
0,train_fold_group_policy,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,shared_energy_regression,25.67521473924408,25.365522178496946,25.67521473924408,27.216558426815965,0.30969256074713414,0.0,-1.5413436875718851,1
0,stage106_fixed_group_policy,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,shared_energy_regression,25.67521473924408,25.365522178496946,25.67521473924408,27.216558426815965,0.30969256074713414,0.0,-1.5413436875718851,1
0,metadata_mlp_cv,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,shared_topk_bce,25.661316005498517,25.365522178496946,25.67521473924408,27.216558426815965,0.295793827001571,-0.013898733745563163,-1.5552424213174483,0
0,anchor_stat_mlp_cv,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,shared_energy_regression,25.67521473924408,25.365522178496946,25.67521473924408,27.216558426815965,0.30969256074713414,0.0,-1.5413436875718851,1
0,oracle_task_best,stage97_00014188,stage79_00028536,mbike-trick,linear,4,53,shared_energy_regression,shared_energy_regression,25.67521473924408,25.365522178496946,25.67521473924408,27.216558426815965,0.30969256074713414,0.0,-1.5413436875718851,1
0,endpoint_only,stage97_00014188,stage79_00028536,mbike-trick,stage65_adapter,4,53,shared_topk_bce,endpoint_diff_baseline,25.72821714917772,25.72821714917772,25.92941125479623,27.055499720223565,0.0,-0.2011941056185087,-1.3272825710458456,0
