step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
159,stage79_00018926,tennis,q12,8,53,0.625,0.01116111408919096,1.5,0.016741670668125153,19.522924524738098
160,stage79_00001061,boat,q12,4,15,0.75,0.0021062977612018585,2.0,0.004212595522403717,26.764802338599605
161,stage79_00019272,tractor-sand,q12,8,25,0.125,0.011135213077068329,1.5,0.016702819615602493,19.53301468139632
162,stage79_00005749,dog-gooses,q12,8,81,0.2,0.015028017573058605,1.5,0.02254202589392662,18.23098305764767
163,stage79_00010068,koala,q12,8,94,0.75,0.009030966088175774,1.5,0.01354644913226366,20.44265788521336
164,stage79_00020623,varanus-cage,q12,4,59,0.75,0.009344756603240967,2.0,0.018689513206481934,20.294320059219576
165,stage79_00004451,dance-jump,q12,4,21,0.25,0.012682866305112839,2.0,0.025365732610225677,18.967825855852205
166,stage79_00004497,dance-jump,q12,8,20,0.5,0.019139984622597694,1.5,0.028709977865219116,17.18058415478906
167,stage79_00014665,rollerblade,q12,8,11,0.375,0.015090559609234333,1.5,0.022635839879512787,18.212946548104835
168,stage79_00014326,rhino,q12,4,9,0.25,0.005809031426906586,2.0,0.011618062853813171,22.358962739807872
169,stage79_00008495,hockey,q12,8,14,0.75,0.003680197289213538,1.5,0.005520295817404985,24.341288989025387
170,stage79_00019226,tractor-sand,q12,4,42,0.5,0.004288203548640013,2.0,0.008576407097280025,23.677246081210058
171,stage79_00021029,walking,q12,8,57,0.125,0.04357030615210533,1.5,0.06535545736551285,13.60809388430029
172,stage79_00000228,bear,q12,4,31,0.75,0.00586148863658309,2.0,0.01172297727316618,22.319920726252008
173,stage79_00017563,stroller,q12,8,2,0.25,0.017895884811878204,1.5,0.026843827217817307,17.472468242694216
174,stage79_00013552,paragliding,q12,8,17,0.125,0.003267105668783188,1.5,0.004900658503174782,24.858368188066862
175,stage79_00006418,drift-turn,q12,4,13,0.25,0.01605531945824623,2.0,0.03211063891649246,17.943810487039404
