measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00047:00040:00048,bike-packing,47,40,48,8,0.875,uniform_gap8,1,1.0,6,psnr_best_half,1,239522,237539,26.077222183513996,27.15979945372097,right,237539,237540,0.22653579711914062,ok,
residual::bike-packing:00047:00044:00048,bike-packing,47,44,48,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,221271,233083,26.30705091479381,26.99966471824416,right,233083,233084,0.22228622436523438,ok,
residual::bike-packing:00047:00046:00048,bike-packing,47,46,48,2,0.5,stage165_adaptive,1,1.0,6,psnr_best_half,1,208785,233013,26.688593600460923,26.70192028965281,right,233013,233014,0.22221946716308594,ok,
residual::bike-packing:00049:00048:00052,bike-packing,49,48,52,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,228184,224777,27.18178214081302,25.766891998113426,left,228184,228185,0.21761417388916016,ok,
residual::bike-packing:00049:00048:00056,bike-packing,49,48,56,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,227523,224035,27.3339254314992,24.902381367916654,left,227523,227524,0.21698379516601562,ok,
residual::bike-packing:00050:00048:00052,bike-packing,50,48,52,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,239413,217251,26.521971612571242,26.588348765320916,right,217251,217252,0.20718765258789062,ok,
residual::bike-packing:00050:00048:00056,bike-packing,50,48,56,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,237546,218061,26.991855176350725,25.409119817426653,left,237546,237547,0.22654247283935547,ok,
residual::bike-packing:00051:00048:00052,bike-packing,51,48,52,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,240106,193978,25.589007692502758,27.001594331508198,right,193978,193979,0.18499279022216797,ok,
residual::bike-packing:00051:00048:00056,bike-packing,51,48,56,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,238638,217709,26.43039027285429,25.839944620333487,left,238638,238639,0.2275838851928711,ok,
residual::bike-packing:00052:00048:00056,bike-packing,52,48,56,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,240870,214679,25.64458267140045,26.00470159016637,right,214679,214680,0.20473480224609375,ok,
residual::bike-packing:00053:00048:00056,bike-packing,53,48,56,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,241679,203926,24.94500497892747,26.126720584907375,right,203926,203927,0.19447994232177734,ok,
