policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
endpoint_only,stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,endpoint_diff_baseline,17.715492927485272,19.223939737904228,19.223939737904228,20.829028619901283,0.0,1.5084468104189561,-1.6050888819970552,0.48534998297691345,0.15755285322666168,0.6456441879272461
always_shared_energy_regression,stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,shared_energy_regression,17.715492927485272,19.223939737904228,18.93754250945166,20.829028619901283,-0.286397228452568,1.2220495819663881,-1.8914861104496232,0.4413999021053314,0.15617670118808746,0.6400048136711121
always_shared_topk_bce,stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,shared_topk_bce,17.715492927485272,19.223939737904228,18.856523897982896,20.829028619901283,-0.36741583992133187,1.1410309704976243,-1.972504721918387,0.4218665063381195,0.15395092964172363,0.6308836936950684
group_best_mean_psnr,stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,endpoint_diff_baseline,17.715492927485272,19.223939737904228,19.223939737904228,20.829028619901283,0.0,1.5084468104189561,-1.6050888819970552,0.48534998297691345,0.15755285322666168,0.6456441879272461
oracle_task_best,stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,endpoint_diff_baseline,17.715492927485272,19.223939737904228,19.223939737904228,20.829028619901283,0.0,1.5084468104189561,-1.6050888819970552,0.48534998297691345,0.15755285322666168,0.6456441879272461
endpoint_only,stage97_00011316,stage79_00022805,camel,4,71,linear,endpoint_diff_baseline,20.41785335949318,21.24011428443101,21.24011428443101,21.73491921376649,0.0,0.8222609249378294,-0.4948049293354799,0.2748236656188965,0.23143644630908966,0.3634222447872162
always_shared_energy_regression,stage97_00011316,stage79_00022805,camel,4,71,linear,shared_energy_regression,20.41785335949318,21.24011428443101,21.322429360510263,21.73491921376649,0.08231507607925437,0.9045760010170838,-0.41248985325622556,0.3589256703853607,0.299844890832901,0.4708433151245117
always_shared_topk_bce,stage97_00011316,stage79_00022805,camel,4,71,linear,shared_topk_bce,20.41785335949318,21.24011428443101,21.30517582191844,21.73491921376649,0.0650615374874306,0.88732246242526,-0.4297433918480493,0.35160064697265625,0.3093607425689697,0.48578596115112305
group_best_mean_psnr,stage97_00011316,stage79_00022805,camel,4,71,linear,shared_energy_regression,20.41785335949318,21.24011428443101,21.322429360510263,21.73491921376649,0.08231507607925437,0.9045760010170838,-0.41248985325622556,0.3589256703853607,0.299844890832901,0.4708433151245117
oracle_task_best,stage97_00011316,stage79_00022805,camel,4,71,linear,shared_energy_regression,20.41785335949318,21.24011428443101,21.322429360510263,21.73491921376649,0.08231507607925437,0.9045760010170838,-0.41248985325622556,0.3589256703853607,0.299844890832901,0.4708433151245117
