task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,header_bytes,metadata_bytes,index_bytes,residual_bytes,payload_entropy_bits_per_byte,residual_entropy_bits_per_byte,zlib_whole_bytes,component_zlib_bytes,residual_zlib_bytes,delta_index_zlib_bytes,best_candidate,best_bytes,best_mib_per_intermediate_frame,best_ratio_vs_raw,best_savings_bytes_vs_raw
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.932939986209479,6.614594615087814,35579,35331,35569,30731,delta_index_zlib,30731,0.02930736541748047,0.7083976856227381,12650
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.709704713689157,7.5996159207425595,40845,40518,40751,35975,delta_index_zlib,35975,0.034308433532714844,0.8292800995827666,7406
stage79_00025390,drift-chicane,q12,16,23,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.69423790409586,6.23860566622774,30451,30217,30402,25198,delta_index_zlib,25198,0.024030685424804688,0.5808533689864226,18183
stage79_00025390,drift-chicane,q12,16,23,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.396149458174946,7.190364130756888,33185,32801,33271,28347,delta_index_zlib,28347,0.02703380584716797,0.65344275143496,15034
stage79_00025552,drift-straight,q12,4,18,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.934160383149681,6.642468663599746,35331,35108,35309,30317,delta_index_zlib,30317,0.02891254425048828,0.6988543371522095,13064
stage79_00025552,drift-straight,q12,4,18,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.741080764001571,7.679609696805144,40869,40634,40845,35889,delta_index_zlib,35889,0.034226417541503906,0.8272976648763284,7492
stage79_00024746,dog,q12,8,26,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.879077406160753,6.560861299698915,33527,33356,33543,29004,delta_index_zlib,29004,0.027660369873046875,0.6685876305294944,14377
stage79_00024746,dog,q12,8,26,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.679042509900224,7.594422441282618,39737,39516,39717,35270,delta_index_zlib,35270,0.03363609313964844,0.8130287453032433,8111
stage79_00029795,parkour,q12,16,91,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.955137966712854,6.651878261120707,35433,35245,35378,30868,delta_index_zlib,30868,0.029438018798828125,0.711555750213227,12513
stage79_00029795,parkour,q12,16,91,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.727505585605978,7.6463576156777515,40946,40713,40869,36366,delta_index_zlib,36366,0.03468132019042969,0.8382932620271547,7015
