stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,candidate,endpoint_energy_recall,candidate_energy_recall,energy_recall_delta,endpoint_precision,candidate_precision,precision_delta,endpoint_sideinfo_psnr,candidate_sideinfo_psnr,sideinfo_psnr_delta,endpoint_delta_psnr_vs_base,candidate_delta_psnr_vs_base,delta_psnr_vs_base_delta,endpoint_gap_to_teacher,candidate_gap_to_teacher,gap_to_teacher_delta,teacher_oracle_sideinfo_psnr,energy_up,psnr_up,energy_up_psnr_down
stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_topk_bce,0.17352792620658875,0.20577701926231384,0.0322490930557251,0.2189365178346634,0.2655995786190033,0.046663060784339905,18.22583122272644,18.288897579351268,0.06306635662482662,0.9468056917993941,1.0098720484242207,0.06306635662482662,-1.683302130912768,-1.6202357742879414,0.06306635662482662,19.90913335363921,1,1,0
stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,shared_energy_regression,0.1268695443868637,0.16136415302753448,0.034494608640670776,0.227618008852005,0.42051002383232117,0.19289201498031616,18.575918995169243,18.6951557445919,0.11923674942265805,0.9969640540803262,1.1162008035029842,0.11923674942265805,-1.7625416268148193,-1.6433048773921612,0.11923674942265805,20.338460621984062,1,1,0
stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,shared_topk_bce,0.1268695443868637,0.15912052989006042,0.032250985503196716,0.227618008852005,0.420238733291626,0.19262072443962097,18.575918995169243,18.619587428961214,0.043668433791971495,0.9969640540803262,1.0406324878722977,0.043668433791971495,-1.7625416268148193,-1.7188731930228478,0.043668433791971495,20.338460621984062,1,1,0
stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_energy_regression,0.5008304715156555,0.5149392485618591,0.014108777046203613,0.6001085042953491,0.59766685962677,-0.0024416446685791016,23.01163864546861,23.021513840413515,0.009875194944903853,2.417410291486849,2.427285486431753,0.009875194944903853,-1.9335112589830032,-1.9236360640380994,0.009875194944903853,24.945149904451615,1,1,0
stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_topk_bce,0.5008304715156555,0.478201299905777,-0.02262917160987854,0.6001085042953491,0.5054259300231934,-0.09468257427215576,23.01163864546861,22.712272668989403,-0.2993659764792085,2.417410291486849,2.1180443150076407,-0.2993659764792085,-1.9335112589830032,-2.2328772354622117,-0.2993659764792085,24.945149904451615,0,0,0
stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,shared_energy_regression,0.15714533627033234,0.15635238587856293,-0.0007929503917694092,0.5217037200927734,0.4932175874710083,-0.028486132621765137,20.829675838694076,20.4801088538937,-0.34956698480037574,1.5855554398138274,1.2359884550134517,-0.34956698480037574,-0.769313145521938,-1.1188801303223137,-0.34956698480037574,21.598988984216014,0,0,0
stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,shared_topk_bce,0.15714533627033234,0.15390551090240479,-0.0032398253679275513,0.5217037200927734,0.4782962501049042,-0.04340746998786926,20.829675838694076,20.47877188843287,-0.35090395026120547,1.5855554398138274,1.234651489552622,-0.35090395026120547,-0.769313145521938,-1.1202170957831434,-0.35090395026120547,21.598988984216014,0,0,0
stage97_00011160,stage79_00022423,breakdance,8,53,linear,shared_energy_regression,0.37829792499542236,0.3901139497756958,0.011816024780273438,0.5046120285987854,0.4997287094593048,-0.004883319139480591,20.330870901499164,20.323774618706537,-0.0070962827926273064,1.9448358699180197,1.9377395871253924,-0.0070962827926273064,-2.829559823615508,-2.8366561064081353,-0.0070962827926273064,23.160430725114672,1,0,1
stage97_00011160,stage79_00022423,breakdance,8,53,linear,shared_topk_bce,0.37829792499542236,0.35457485914230347,-0.023723065853118896,0.5046120285987854,0.41806837916374207,-0.08654364943504333,20.330870901499164,20.142366320064355,-0.18850458143480964,1.9448358699180197,1.75633128848321,-0.18850458143480964,-2.829559823615508,-3.0180644050503176,-0.18850458143480964,23.160430725114672,0,0,0
stage97_00011160,stage79_00022423,breakdance,8,53,stage65_adapter,shared_energy_regression,0.15755285322666168,0.15617670118808746,-0.0013761520385742188,0.48534998297691345,0.4413999021053314,-0.04395008087158203,19.223939737904228,18.93754250945166,-0.286397228452568,1.5084468104189561,1.2220495819663881,-0.286397228452568,-1.6050888819970552,-1.8914861104496232,-0.286397228452568,20.829028619901283,0,0,0
