codec_variant,method,bits,reference_gap,sample_count,mean_rate_mib_per_frame,mean_all_psnr,min_all_psnr,max_all_psnr
legacy_dtype_zlib,uniform,16,8,4,0.08427071865694022,28.002301483216133,23.726895785672998,32.355592038677514
legacy_dtype_zlib,uniform,16,16,4,0.045981660607114554,26.007848702576645,21.860934064694316,30.969784703432914
stage57_compact_raw_actual,uniform,8,16,4,0.03434119825468665,25.087196815723836,21.42626162360916,29.125309658911
stage57_compact_raw_actual,uniform,10,16,4,0.04291540819118855,25.88434351291017,21.78487097171083,30.7494322543347
stage57_compact_raw_actual,uniform,12,16,4,0.05148915872180884,25.99829100228245,21.854521249468,30.956557774726353
stage57_compact_raw_actual,uniform,16,16,4,0.06863641027879003,26.007848702576645,21.860934064694316,30.969784703432914
stage57_compact_zlib_actual,uniform,8,16,4,0.02242765457981459,25.087196815723836,21.42626162360916,29.125309658911
stage57_compact_zlib_actual,uniform,10,16,4,0.029996156310240045,25.88434351291017,21.78487097171083,30.7494322543347
stage57_compact_zlib_actual,uniform,12,16,4,0.035456150641172995,25.99829100228245,21.854521249468,30.956557774726353
stage57_compact_zlib_actual,uniform,16,16,4,0.045984296399621566,26.007848702576645,21.860934064694316,30.969784703432914
