task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,metadata_bits_per_attr_value,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,3686,6,16,0.041353702545166016,14.708515181208464,17.48929438256428,2.780779201355818
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,3686,8,16,0.05277824401855469,14.708515181208464,17.488003121052405,2.779487939843941
stage79_00028248,loading,q12,8,43,stage65_adapter,0.25,9216,6,16,0.10332107543945312,14.708515181208464,20.216026191581058,5.507511010372594
stage79_00028248,loading,q12,8,43,stage65_adapter,0.25,9216,8,16,0.13188552856445312,14.708515181208464,20.218191320234112,5.509676139025649
stage79_00022888,camel,q12,8,81,linear,0.1,3686,6,16,0.041353702545166016,22.489052326242458,23.541211926232073,1.052159599989615
stage79_00022888,camel,q12,8,81,linear,0.1,3686,8,16,0.05277824401855469,22.489052326242458,23.553847042997745,1.0647947167552871
stage79_00022888,camel,q12,8,81,linear,0.25,9216,6,16,0.10332107543945312,22.489052326242458,24.344185099514057,1.855132773271599
stage79_00022888,camel,q12,8,81,linear,0.25,9216,8,16,0.13188552856445312,22.489052326242458,24.36330405445558,1.874251728213121
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,3686,6,16,0.041353702545166016,21.59513563488174,22.324005289214636,0.7288696543328967
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,3686,8,16,0.05277824401855469,21.59513563488174,22.329251851927307,0.7341162170455675
stage79_00022888,camel,q12,8,81,stage65_adapter,0.25,9216,6,16,0.10332107543945312,21.59513563488174,22.79583729280312,1.2007016579213818
stage79_00022888,camel,q12,8,81,stage65_adapter,0.25,9216,8,16,0.13188552856445312,21.59513563488174,22.806723916675452,1.2115882817937127
stage79_00030005,pigs,q12,4,6,linear,0.1,3686,6,16,0.041353702545166016,23.684025514285292,26.640421820911197,2.956396306625905
stage79_00030005,pigs,q12,4,6,linear,0.1,3686,8,16,0.05277824401855469,23.684025514285292,26.645846123986416,2.9618206097011246
stage79_00030005,pigs,q12,4,6,linear,0.25,9216,6,16,0.10332107543945312,23.684025514285292,29.060202420980417,5.376176906695125
stage79_00030005,pigs,q12,4,6,linear,0.25,9216,8,16,0.13188552856445312,23.684025514285292,29.082533932522455,5.398508418237164
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,3686,6,16,0.041353702545166016,24.401265605812654,26.650250766180964,2.24898516036831
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,3686,8,16,0.05277824401855469,24.401265605812654,26.65645287421969,2.2551872684070347
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.25,9216,6,16,0.10332107543945312,24.401265605812654,28.14086309183643,3.7395974860237757
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.25,9216,8,16,0.13188552856445312,24.401265605812654,28.1569893502173,3.755723744404648
stage79_00029696,parkour,q12,8,83,linear,0.1,3686,6,16,0.041353702545166016,16.598817972818342,18.95861405434095,2.3597960815226067
stage79_00029696,parkour,q12,8,83,linear,0.1,3686,8,16,0.05277824401855469,16.598817972818342,18.971628598803576,2.3728106259852346
stage79_00029696,parkour,q12,8,83,linear,0.25,9216,6,16,0.10332107543945312,16.598817972818342,21.41509552361105,4.816277550792709
