task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00025543,drift-straight,4,q4_top20,14.67460981962345,15.148767763688598,14.713324380681776,0.038714561058325714,14.684575862740843,0.009966043117392687,-0.028748517940933027,-0.4641919009477551,0,1
stage79_00025930,goat,4,q4_top20,18.07351754451704,18.95342358712822,18.214272949913948,0.14075540539690934,18.01673751195304,-0.05678003256399933,-0.19753543796090867,-0.9366860751751815,1,1
stage79_00026324,gold-fish,4,q4_top20,27.28953665715274,26.58899000223883,26.811306633607735,-0.4782300235450059,26.3090521787883,-0.980484478364442,-0.5022544548194361,-0.2799378234505312,1,1
stage79_00027009,india,4,q4_top20,19.206099599335687,20.036125766590246,19.406202968361804,0.2001033690261167,19.302668972184936,0.09656937284924894,-0.10353399617686776,-0.7334567944053099,0,1
stage79_00027456,kite-surf,4,q4_top20,23.60997087197785,24.49923916079181,24.074897135530012,0.4649262635521616,23.755058818884137,0.1450879469062869,-0.3198383166458747,-0.744180341907672,0,1
stage79_00027720,lab-coat,4,q4_top20,17.896288452596853,18.45779465895117,18.05034065651604,0.15405220391918562,17.911220042755886,0.014931590159033448,-0.13912061376015217,-0.5465746161952829,0,1
stage79_00027959,libby,4,q4_top20,17.864701418383284,18.193858374576198,17.942491625561765,0.07779020717848084,17.855206200948576,-0.009495217434707826,-0.08728542461318867,-0.33865217362762223,1,1
stage79_00028536,mbike-trick,4,q4_top20,23.42483919206513,24.297743177110597,23.867333167021737,0.4424939749566086,23.05057673147903,-0.3742624605860989,-0.8167564355427075,-1.2471664456315672,1,1
stage79_00028807,motocross-jump,4,q4_top20,13.607505745825272,13.730275461210738,13.613931688266481,0.006425942441209642,13.646738633320524,0.039232887495252555,0.03280694505404291,-0.08353682789021377,0,0
stage79_00029145,paragliding-launch,4,q4_top20,25.636634782020344,26.150875576254613,25.73847973188169,0.10184494986134496,25.607338670362473,-0.029296111657870938,-0.1311410615192159,-0.5435369058921395,1,1
stage79_00030048,pigs,4,q4_top20,26.591030973570312,25.948488334018016,26.302395527708875,-0.28863544586143774,26.279756839227296,-0.3112741343430159,-0.02263868848157813,0.3312685052092803,1,1
stage79_00030332,scooter-black,4,q4_top20,11.762205560622977,12.144251877592998,11.819932139049925,0.05772657842694784,11.787766322194802,0.02556076157182474,-0.0321658168551231,-0.35648555539819604,0,1
stage79_00030529,shooting,4,q4_top20,15.284502709973552,15.379591534631992,15.283677671538925,-0.0008250384346268902,15.42342723652181,0.1389245265482586,0.1397495649828855,0.04383570188981878,0,0
stage79_00030861,soapbox,4,q4_top20,26.61657426705727,25.118114621822315,25.848926525208178,-0.7676477418490926,25.353344078596393,-1.2632301884608772,-0.49558244661178463,0.23522945677407847,1,1
stage79_00021616,blackswan,8,q4_top20,19.06082622468775,19.74092822045288,19.229020993122013,0.16819476843426173,19.111996501940588,0.05117027725283663,-0.1170244911814251,-0.6289317185122911,0,1
