task_id,sequence,gap,codec,left_index,right_index,target_index,normalized_time,method,psnr,ssim,ms_ssim,lpips,linear_base_psnr,stage151_recovered_psnr,delta_psnr_vs_linear,delta_psnr_vs_stage151_recovered,linear_base_ssim,stage151_recovered_ssim,delta_ssim_vs_linear,delta_ssim_vs_stage151_recovered,linear_base_lpips,stage151_recovered_lpips,delta_lpips_vs_linear,delta_lpips_vs_stage151_recovered
stage79_00026663,horsejump-high,4,q12,44,48,46,0.5,original_streamsplat_middle_base,21.50895848060585,0.6874027848243713,0.9031822085380554,0.2183208018541336,17.69117728910352,21.355177991385887,3.817781191502327,0.15378048921996168,0.45961520075798035,0.6189355254173279,0.227787584066391,0.06846725940704346,0.3820802867412567,0.3503352403640747,-0.1637594848871231,-0.1320144385099411
stage79_00023187,car-roundabout,4,q12,28,32,29,0.25,original_streamsplat_middle_base,19.184771695800663,0.5670152306556702,0.8248140215873718,0.26490309834480286,16.526065756703776,20.26865956599928,2.658705939096887,-1.083887870198616,0.4849580228328705,0.6330934166908264,0.08205720782279968,-0.06607818603515625,0.33871039748191833,0.33401650190353394,-0.07380729913711548,-0.06911340355873108
stage79_00025922,goat,4,q12,44,48,46,0.5,original_streamsplat_middle_base,18.115857486803144,0.23181231319904327,0.572296142578125,0.41813331842422485,16.487572424940797,18.70811144835988,1.6282850618623463,-0.5922539615567359,0.12073088437318802,0.34773799777030945,0.11108142882585526,-0.11592568457126617,0.5085616111755371,0.48124635219573975,-0.09042829275131226,-0.06311303377151489
stage79_00025540,drift-straight,4,q12,0,4,2,0.5,original_streamsplat_middle_base,18.192542993991086,0.46660861372947693,0.7383706569671631,0.32516270875930786,13.356301388165335,16.467353423600542,4.836241605825752,1.725189570390544,0.18874962627887726,0.3836059272289276,0.27785898745059967,0.08300268650054932,0.49454131722450256,0.4661288559436798,-0.1693786084651947,-0.14096614718437195
stage79_00023512,car-shadow,8,q12,32,39,35,0.42857142857142855,original_streamsplat_middle_base,20.561014440702692,0.5760046243667603,0.8365002274513245,0.278289258480072,17.01466353428904,20.721243853887785,3.546350906413654,-0.16022941318509254,0.3987334668636322,0.5820041298866272,0.17727115750312805,-0.005999505519866943,0.40357428789138794,0.3954680860042572,-0.12528502941131592,-0.11717882752418518
stage79_00027283,judo,8,q12,16,24,18,0.25,original_streamsplat_middle_base,25.751268788533576,0.8645972609519958,0.9101804494857788,0.22746646404266357,24.899164110002076,30.916451432493368,0.8521046785315001,-5.165182643959792,0.8668400645256042,0.9280444979667664,-0.0022428035736083984,-0.06344723701477051,0.20238268375396729,0.16340062022209167,0.02508378028869629,0.0640658438205719
stage79_00024994,dogs-jump,4,q12,0,4,1,0.25,original_streamsplat_middle_base,27.768789998567964,0.821990966796875,0.9508155584335327,0.204640194773674,28.213168346392266,31.051345718183324,-0.4443783478243013,-3.2825557196153596,0.8188754916191101,0.8624320030212402,0.0031154751777648926,-0.040441036224365234,0.16553960740566254,0.1423240303993225,0.039100587368011475,0.0623161643743515
stage79_00027011,india,4,q12,72,76,73,0.25,original_streamsplat_middle_base,20.474125070897177,0.562501847743988,0.7697070837020874,0.2778933346271515,19.949218259799867,23.671930566293273,0.5249068110973099,-3.1978054953960964,0.4667557179927826,0.633329451084137,0.09574612975120544,-0.07082760334014893,0.29042884707450867,0.314045250415802,-0.012535512447357178,-0.03615191578865051
stage79_00025345,drift-chicane,8,q12,16,24,23,0.875,original_streamsplat_middle_base,30.58086705043297,0.8810505270957947,0.9766530990600586,0.19338005781173706,30.94990205384267,31.517954566453227,-0.3690350034096994,-0.9370875160202559,0.8875914216041565,0.8968330025672913,-0.006540894508361816,-0.015782475471496582,0.16839954257011414,0.16500307619571686,0.024980515241622925,0.028376981616020203
stage79_00028812,motocross-jump,4,q12,20,24,23,0.75,original_streamsplat_middle_base,14.094692782607366,0.44769611954689026,0.3551819920539856,0.6208215951919556,12.424607362241991,16.01943610666431,1.6700854203653748,-1.9247433240569425,0.4443689286708832,0.5389552712440491,0.00332719087600708,-0.09125915169715881,0.5627535581588745,0.5213975310325623,0.058068037033081055,0.09942406415939331
stage79_00022787,camel,4,q12,44,48,47,0.75,original_streamsplat_middle_base,22.255666110828646,0.633385956287384,0.9174538850784302,0.23516574501991272,19.730839184355684,21.604215205385376,2.5248269264729615,0.6514509054432693,0.3881203234195709,0.5171136856079102,0.2452656328678131,0.11627227067947388,0.30529648065567017,0.31036728620529175,-0.07013073563575745,-0.07520154118537903
stage79_00030097,pigs,8,q12,40,48,44,0.5,original_streamsplat_middle_base,22.788716384021576,0.538292646408081,0.7256428003311157,0.35926586389541626,20.87022571969225,24.05987524616847,1.918490664329326,-1.271158862146894,0.396946519613266,0.5514379143714905,0.14134612679481506,-0.013145267963409424,0.4002857804298401,0.3798993229866028,-0.04101991653442383,-0.020633459091186523
stage79_00022430,breakdance,8,q12,56,64,61,0.625,original_streamsplat_middle_base,18.670944510801316,0.6417622566223145,0.8045324683189392,0.2932969629764557,18.526822208031646,23.010645483346757,0.14412230276967009,-4.33970097254544,0.6882151961326599,0.7933085560798645,-0.04645293951034546,-0.15154629945755005,0.2731449604034424,0.2302420437335968,0.020152002573013306,0.06305491924285889
stage79_00027472,kite-surf,4,q12,28,32,31,0.75,original_streamsplat_middle_base,25.403530320654074,0.6346128582954407,0.8759607076644897,0.19579125940799713,23.453074289147004,27.319875730927752,1.9504560315070698,-1.9163454102736779,0.5570332407951355,0.6761908531188965,0.07757961750030518,-0.04157799482345581,0.24751196801662445,0.23013052344322205,-0.05172070860862732,-0.034339264035224915
stage79_00024365,dance-twirl,4,q12,80,84,82,0.5,original_streamsplat_middle_base,18.58620854029728,0.40671685338020325,0.7237411737442017,0.3848971724510193,16.741235807094565,20.2372131377064,1.8449727332027166,-1.6510045974091199,0.31230783462524414,0.49119123816490173,0.0944090187549591,-0.08447438478469849,0.48221921920776367,0.45800185203552246,-0.09732204675674438,-0.07310467958450317
