sample,reference_gap,bits,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
n3dv,8,8,raw_mib_per_frame,0.06214608086480035,0.06214608086480035,0.0,0.0,0.0
n3dv,8,10,raw_mib_per_frame,0.1242136072229456,0.1242136072229456,0.0,0.0,0.0
n3dv,8,12,raw_mib_per_frame,0.12421414881576727,0.12421414881576727,0.0,0.0,0.0
n3dv,8,16,raw_mib_per_frame,0.12421481991991584,0.12421481991991584,0.0,0.0,0.0
n3dv,16,8,raw_mib_per_frame,0.033898530183015044,0.033898518409258054,-1.1773756990185458e-08,0.07508025079923897,0.07943858740669185
n3dv,16,10,raw_mib_per_frame,0.06775356810769917,0.06775353278642819,-3.532127097749527e-08,0.1292442524887285,0.13773602076031466
n3dv,16,12,raw_mib_per_frame,0.06775385067786699,0.06775379180908203,-5.886878495786618e-08,0.13557186720417747,0.14403781396163495
n3dv,16,16,raw_mib_per_frame,0.06775427453311873,0.06775419211681978,-8.241629895211489e-08,0.1354183719439881,0.14399391221072122
robot,1,8,raw_mib_per_frame,0.45761209958559507,0.45761209958559507,0.0,0.0,
robot,1,10,raw_mib_per_frame,0.9146545955113002,0.9146545955113002,0.0,0.0,
robot,1,12,raw_mib_per_frame,0.9146597973712078,0.9146597973712078,0.0,0.0,
robot,1,16,raw_mib_per_frame,0.9146639836298955,0.9146639836298955,0.0,0.0,
robot,2,8,raw_mib_per_frame,0.23177777327500382,0.23177777327500382,0.0,0.0,0.0
robot,2,10,raw_mib_per_frame,0.46326723965731537,0.46326723965731537,0.0,0.0,0.0
robot,2,12,raw_mib_per_frame,0.4632700759095031,0.4632700759095031,0.0,0.0,0.0
robot,2,16,raw_mib_per_frame,0.4632720947265625,0.4632720947265625,0.0,0.0,0.0
robot,3,8,raw_mib_per_frame,0.16046178495729124,0.1604618468841949,6.192690366058073e-08,0.12593819187432942,0.18401248311332807
robot,3,10,raw_mib_per_frame,0.32072381849412795,0.32072369464032063,-1.2385380732116147e-07,0.12987099763617493,0.18470467218187636
robot,3,12,raw_mib_per_frame,0.3207256639158571,0.3207255524474305,-1.1146842660014755e-07,0.13103341729762263,0.1845094115536945
robot,3,16,raw_mib_per_frame,0.32072713777616424,0.3207268900685496,-2.4770761464232294e-07,0.13033989636345922,0.18443053951418165
robot,4,8,raw_mib_per_frame,0.11886103741534344,0.11886056677087561,-4.7064446782874025e-07,0.16331619309351808,0.21729521549740127
robot,4,10,raw_mib_per_frame,0.23757380943793754,0.23757349980341924,-3.0963451830290367e-07,0.15043484975978316,0.21363776453724626
robot,4,12,raw_mib_per_frame,0.2375751594444374,0.23757486219529983,-2.9724913758188976e-07,0.15067022519403395,0.21430904180106936
robot,4,16,raw_mib_per_frame,0.23757627412870333,0.23757601403570794,-2.6009299539109243e-07,0.15057624711833384,0.21418535830832042
robot,8,8,raw_mib_per_frame,0.06537431246274478,0.06537448585807502,1.733953302468505e-07,0.2876497712710311,0.34384268018851216
robot,8,10,raw_mib_per_frame,0.13066628691437956,0.1306662249874759,-6.192690366058073e-08,0.2882636127732461,0.3420980785423531
robot,8,12,raw_mib_per_frame,0.1306669433395584,0.1306669061834162,-3.7156142190797325e-08,0.29277517452441515,0.34688981687132525
robot,8,16,raw_mib_per_frame,0.13066752545245283,0.13066742636940695,-9.908304587913364e-08,0.29308848291362466,0.34715741816896895
robot,16,8,raw_mib_per_frame,0.035659468019163455,0.03565917077002587,-2.9724913758188976e-07,-0.018963597365331708,-0.01899001734383532
robot,16,10,raw_mib_per_frame,0.07127320921266234,0.07127288719276328,-3.2201989905167316e-07,-0.040830605061721315,-0.04220026382399311
robot,16,12,raw_mib_per_frame,0.07127355600332284,0.071273271139566,-2.8486375684699805e-07,-0.04021615350439589,-0.039005588375840006
robot,16,16,raw_mib_per_frame,0.07127382848169897,0.07127359315946505,-2.3532223392130902e-07,-0.040280167567157577,-0.039171637156432126
