sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
cows,12,24.639814729020895,0.7650752067565918,0.974519670009613,0.20861206948757172,217405,24.696724517798216,0.20750750601291656,24.813864276346123,0.20304036140441895,0.17404954732522881,-0.005571708083152771,1,0,0,1.3601852709791054
cows,1,24.76198672128527,0.7749747633934021,0.9760187268257141,0.2076873779296875,225957,24.76198672128527,0.2076873779296875,24.75789211208943,0.2073582112789154,-0.0040946091958389275,-0.0003291666507720947,1,0,1,1.3571532787147318
cows,39,24.644374816376143,0.7685568928718567,0.975432276725769,0.20981772243976593,204155,24.644374816376143,0.20981772243976593,24.625246974539493,0.20959053933620453,-0.019127841836649395,-0.00022718310356140137,1,0,0,1.3556251836238573
parkour,69,25.40021772963227,0.7582504749298096,0.9715064167976379,0.23954956233501434,238157,25.40021772963227,0.23954956233501434,25.99364151149483,0.19838184118270874,0.5934237818625583,-0.0411677211523056,1,1,1,1.3539135170680163
mbike-trick,76,28.21486772389949,0.8277377486228943,0.9777323603630066,0.28762269020080566,208553,28.21486772389949,0.28762269020080566,28.867743146996737,0.16367924213409424,0.652875423097246,-0.12394344806671143,0,1,0,1.3524538040161134
breakdance,44,24.73551015863474,0.8164860606193542,0.9776536226272583,0.2243838906288147,160662,24.73551015863474,0.2243838906288147,25.814888571728755,0.15182314813137054,1.079378413094016,-0.07256074249744415,1,1,0,1.3521676539415552
cows,61,24.78044837880112,0.7704153656959534,0.9758083820343018,0.21142534911632538,225969,24.631779246959265,0.21221600472927094,24.78044837880112,0.21142534911632538,0.0,0.0,1,0,1,1.3389316211988818
cows,102,24.735996688844875,0.7783153057098389,0.9767593145370483,0.20101580023765564,223463,24.735996688844875,0.20101580023765564,24.703043639911403,0.20149846374988556,-0.03295304893347151,0.00048266351222991943,1,0,1,1.3332633111551255
camel,66,25.3358975847901,0.7922520637512207,0.9784483909606934,0.1967015266418457,253058,25.3358975847901,0.1967015266418457,25.363483980007572,0.19719727337360382,0.027586395217472415,0.0004957467317581177,1,0,1,1.3252624152099
cows,10,24.678940986211582,0.7703234553337097,0.975587010383606,0.21209484338760376,211468,24.697870921552823,0.2129054218530655,24.664588805899093,0.2129916250705719,-0.014352180312489082,0.0008967816829681396,1,0,0,1.3210590137884175
cows,31,24.67966328724102,0.767920732498169,0.9756327271461487,0.20836037397384644,208464,24.67966328724102,0.20836037397384644,24.665870946402073,0.20913445949554443,-0.01379234083894687,0.000774085521697998,1,0,0,1.32033671275898
cows,13,24.68667929948377,0.7685016989707947,0.9752329587936401,0.21074512600898743,216458,24.648115741605523,0.210308238863945,24.764157373424837,0.20970739424228668,0.07747807394106587,-0.0010377317667007446,1,0,0,1.313320700516229
mbike-trick,70,29.487185349591098,0.8496343493461609,0.9796282052993774,0.28557464480400085,206593,29.487185349591098,0.28557464480400085,29.61522679402002,0.2824861705303192,0.1280414444289235,-0.0030884742736816406,0,1,0,1.3114928960800172
