schedule,sequence,frame_count,keyframe_count,mean_psnr,p10_psnr,mean_lpips,p90_lpips,mean_payload_bytes,delta_psnr_vs_gap8,delta_lpips_vs_gap8
interval_top90pct_cells,camel,90,16,25.71448776081624,25.394645670036386,0.18753415528270934,0.19767375886440275,192256.5888888889,0.005134941661719239,-0.00042561077409319914
interval_top90pct_cells,car-roundabout,75,15,26.849713613328632,25.868553759540006,0.14759324232737223,0.16092438399791717,185399.84,0.038739033637902764,-0.0026072105765342912
interval_top90pct_cells,car-shadow,40,9,29.649088073192804,29.380255682448944,0.14427624586969615,0.1624058023095131,172262.125,0.0618294896970113,-0.0052025176584720445
interval_top90pct_cells,cows,104,17,24.66421850890752,24.539398238481382,0.20981064467475966,0.214829920232296,187813.13461538462,0.00728431886264147,-0.0001643497783404002
interval_top90pct_cells,dance-twirl,90,16,28.408255396784647,26.555276822615674,0.2080249748296208,0.25360273420810703,178716.13333333333,0.027327184088690615,-0.0020418804552820025
interval_top90pct_cells,dog,60,11,31.743174088080067,29.352801594538153,0.1672940010825793,0.21328420042991642,192067.05,0.013528198149334258,-0.0014305914441744283
interval_top90pct_cells,dogs-jump,66,10,32.00947529644536,31.232542179015773,0.15720611946149307,0.2275671511888504,133078.57575757575,0.0,0.0
interval_top90pct_cells,drift-chicane,52,8,30.790948734840256,30.310828222806922,0.18265184530845055,0.20433542579412461,102393.36538461539,0.0,0.0
interval_top90pct_cells,drift-straight,50,12,30.996909860210778,29.234824104162897,0.11949795566499233,0.1836175113916397,192289.3,0.17913984316910359,-0.007188346534967416
interval_top90pct_cells,goat,90,17,27.263653615680248,26.61665988795953,0.17373956044514974,0.18265976160764694,200340.13333333333,0.0151172050574786,-0.00029290401273304734
interval_top90pct_cells,gold-fish,78,11,33.52147658187607,33.07643299857011,0.07741329809411979,0.08759709522128105,178373.87179487178,0.0,0.0
interval_top90pct_cells,horsejump-high,50,10,27.86791211696258,27.495280576646262,0.1576545502245426,0.1819443330168724,172417.22,0.052594949799210866,-0.0040410986542701866
interval_top90pct_cells,india,81,14,33.06893211856979,31.07990414082106,0.1484325858361927,0.214697003364563,190026.38271604938,0.11638354177362942,-0.00641186599746163
interval_top90pct_cells,judo,34,6,31.277785481000585,30.619971072619407,0.16289897876627304,0.20512740314006805,95493.91176470589,0.0,0.0
interval_top90pct_cells,kite-surf,50,10,32.03769636416819,31.548992818350055,0.10284444004297257,0.11418097391724587,177707.62,0.01285297475558167,-0.0008987623453140248
interval_top90pct_cells,lab-coat,47,9,29.130341008318815,26.825112920606685,0.1594755135952158,0.22790797352790831,184544.04255319148,0.04265648351971052,-0.0016556225241498856
interval_top90pct_cells,libby,49,10,32.83620469599042,31.390130388655194,0.15880223774180122,0.21128703355789186,202640.18367346938,0.22538610456537356,-0.009054418121065388
interval_top90pct_cells,loading,50,11,28.588074499827467,27.30069494445752,0.1277662992477417,0.15874602198600768,181529.64,0.06701537313987416,-0.005048122704029101
interval_top90pct_cells,mbike-trick,79,11,29.92433375659513,29.27276835793948,0.21783426139928116,0.28598425388336185,157727.48101265822,0.0,0.0
interval_top90pct_cells,motocross-jump,40,9,33.7377074611378,31.342263329344977,0.19677689839154483,0.3302419662475586,180503.5,0.11148173869150213,-0.008527914248406876
interval_top90pct_cells,paragliding-launch,80,11,30.92775071377444,29.51794552398617,0.17496945187449456,0.19086637794971464,186789.275,0.0,0.0
interval_top90pct_cells,parkour,100,17,27.428333243852947,25.45254032261041,0.20187518402934074,0.2325374513864517,190606.47,0.03320763221426404,-0.0022487241029739424
interval_top90pct_cells,pigs,79,11,31.533248137505076,30.46826427546325,0.16034789072184624,0.18385129570960998,169667.15189873418,0.0,0.0
interval_top90pct_cells,scooter-black,43,11,26.257798809503246,24.820292271902655,0.16161027983870618,0.20699621737003324,175026.2558139535,0.13426856421876465,-0.00726422009079955
interval_top90pct_cells,shooting,40,10,35.02001623644067,33.722045310772685,0.1363637074828148,0.21539294719696048,178907.725,0.669619445318375,-0.0328212020918727
interval_top90pct_cells,soapbox,99,17,30.47101983391115,29.31463838333351,0.15208390889444737,0.20788475275039672,193294.9696969697,0.0927220128366315,-0.004017918022594075
stage165_adaptive,bike-packing,69,11,25.90887042149261,25.084459228698876,0.19768622193647467,0.22394593358039855,150230.15942028986,0.0012980233842156963,-0.0001794164595396719
stage165_adaptive,blackswan,50,8,29.84928276586321,29.40026119056854,0.16459796249866485,0.18240012377500534,197432.94,0.0,0.0
