sequence,frame_index,cell_id,selector_score,vote_count,hard_quality_label,high_payload_label,gap8_psnr,adaptive_psnr,delta_psnr_adaptive_vs_gap8,gap8_ssim,adaptive_ssim,delta_ssim_adaptive_vs_gap8,gap8_ms_ssim,adaptive_ms_ssim,delta_ms_ssim_adaptive_vs_gap8,gap8_lpips,adaptive_lpips,delta_lpips_adaptive_vs_gap8,gap8_residual_payload_bytes,adaptive_keyframe_bitstream_bytes,local_payload_delta_bytes,false_positive_risk_flag,false_positive_reason
bmx-trees,31,bmx-trees:00024:00032,3.665546218487395,3.0,0,1,32.92876171953782,33.3095672557742,0.38080553623638025,0.925191342830658,0.932438313961029,0.007246971130371094,0.9897559881210327,0.991727352142334,0.0019713640213012695,0.09049923717975616,0.08111889660358429,-0.009380340576171875,250639,719646,469007,0,large_local_payload_delta
scooter-black,4,scooter-black:00000:00008,4.6873949579831935,4.0,1,0,24.485712647893678,24.865771865211276,0.38005921731759784,0.8602979779243469,0.8812634348869324,0.02096545696258545,0.9826095700263977,0.9891049265861511,0.006495356559753418,0.20444439351558685,0.17033608257770538,-0.03410831093788147,218576,719649,501073,0,large_local_payload_delta
drift-straight,2,drift-straight:00000:00008,4.862184873949579,4.0,0,1,31.33222411635942,31.711846611755124,0.37962249539570436,0.9343966841697693,0.9456475377082825,0.011250853538513184,0.992097020149231,0.9943646192550659,0.002267599105834961,0.1039929911494255,0.08652514219284058,-0.01746784895658493,246560,719642,473082,0,large_local_payload_delta
dance-twirl,82,dance-twirl:00080:00088,1.5697478991596638,1.0,1,0,27.541942456797493,27.903029205020676,0.3610867482231832,0.8415058255195618,0.8582615852355957,0.016755759716033936,0.9825877547264099,0.9872617125511169,0.004673957824707031,0.21566399931907654,0.18091200292110443,-0.03475199639797211,220544,719656,499112,0,large_local_payload_delta
car-shadow,10,car-shadow:00008:00016,1.5176470588235293,1.0,0,1,29.457036012850565,29.78372715249877,0.3266911396482044,0.9057321548461914,0.9249927401542664,0.01926058530807495,0.9870377779006958,0.9923527836799622,0.005315005779266357,0.15345114469528198,0.11709575355052948,-0.0363553911447525,221194,719651,498457,0,large_local_payload_delta
parkour,90,parkour:00088:00096,4.709243697478992,4.0,1,1,25.56790006450428,25.880542795571024,0.3126427310667452,0.800014317035675,0.8202226161956787,0.020208299160003662,0.9787436127662659,0.9837514758110046,0.0050078630447387695,0.22299402952194214,0.194299578666687,-0.028694450855255127,223896,719644,495748,0,large_local_payload_delta
goat,3,goat:00000:00008,4.734453781512605,4.0,0,1,27.10622639867911,27.402214489932668,0.29598809125355885,0.8477059006690979,0.8592577576637268,0.011551856994628906,0.9857361316680908,0.9881953001022339,0.0024591684341430664,0.1765400767326355,0.1695810705423355,-0.006959006190299988,259279,719644,460365,0,large_local_payload_delta
loading,13,loading:00008:00016,5.892436974789916,5.0,0,1,28.72541977147741,29.019673911062057,0.2942541395846483,0.917439877986908,0.9293107986450195,0.011870920658111572,0.9884573221206665,0.9915629625320435,0.003105640411376953,0.12903743982315063,0.10225045680999756,-0.026786983013153076,249917,719656,469739,0,large_local_payload_delta
kite-surf,2,kite-surf:00000:00008,1.457142857142857,1.0,0,1,32.8413760996183,33.11363864246269,0.27226254284438767,0.9143009781837463,0.9232661724090576,0.00896519422531128,0.9867032766342163,0.9904855489730835,0.0037822723388671875,0.08753389120101929,0.0756819099187851,-0.011851981282234192,227335,719644,492309,0,large_local_payload_delta
soapbox,49,soapbox:00048:00056,4.695798319327731,4.0,0,1,30.90137078639461,31.165075863459876,0.26370507706526425,0.9156380295753479,0.9249712824821472,0.009333252906799316,0.989352285861969,0.9920698404312134,0.0027175545692443848,0.10631267726421356,0.09157629311084747,-0.014736384153366089,236961,719653,482692,0,large_local_payload_delta
car-roundabout,59,car-roundabout:00056:00064,4.761344537815126,4.0,1,1,25.834161235583917,26.08171852522942,0.24755728964550272,0.8733978867530823,0.8870430588722229,0.013645172119140625,0.9850690364837646,0.9886817932128906,0.0036127567291259766,0.16083532571792603,0.13702422380447388,-0.02381110191345215,243262,719649,476387,0,large_local_payload_delta
