candidate,sequence,frame_index,full_type,candidate_type,full_psnr,candidate_psnr,delta_psnr_candidate_vs_full,gap8_psnr,delta_psnr_candidate_vs_gap8,full_lpips,candidate_lpips,delta_lpips_candidate_vs_full,gap8_lpips,delta_lpips_candidate_vs_gap8,candidate_payload_bytes
interval_score_ge4p0,parkour,83,stage158_residual_recovery,stage158_residual_recovery,25.255819403305196,25.109513466302538,-0.14630593700265848,25.109513466302538,0.0,0.2305801957845688,0.23775264620780945,0.007172450423240662,0.23775264620780945,0.0,233834
interval_score_ge4p0,parkour,86,stage158_residual_recovery,stage158_residual_recovery,25.818469482629855,25.679237093957816,-0.13923238867203835,25.679237093957816,0.0,0.20177805423736572,0.2107551544904709,0.008977100253105164,0.2107551544904709,0.0,229050
interval_score_ge4p0,camel,51,q12_keyframe,stage158_residual_recovery,25.600132613179596,25.462957039119605,-0.1371755740599916,25.462957039119605,0.0,0.18335258960723877,0.19162939488887787,0.008276805281639099,0.19162939488887787,0.0,249506
interval_score_ge4p0,parkour,87,q12_keyframe,stage158_residual_recovery,25.920616846383414,25.78571824919991,-0.13489859718350417,25.78571824919991,0.0,0.18988604843616486,0.20471639931201935,0.014830350875854492,0.20471639931201935,0.0,218618
interval_score_ge4p0,goat,75,q12_keyframe,stage158_residual_recovery,26.759409220285868,26.62571928925063,-0.13368993103523863,26.62571928925063,0.0,0.1731504499912262,0.17728166282176971,0.004131212830543518,0.17728166282176971,0.0,250518
interval_score_ge4p0,goat,78,q12_keyframe,stage158_residual_recovery,26.668876681433034,26.54081198548788,-0.12806469594515235,26.54081198548788,0.0,0.17560455203056335,0.18175573647022247,0.006151184439659119,0.18175573647022247,0.0,244291
interval_score_ge4p0,dog,3,stage158_residual_recovery,stage158_residual_recovery,32.90964380905838,32.78169433331734,-0.12794947574104043,32.78169433331734,0.0,0.17524948716163635,0.18805325031280518,0.012803763151168823,0.18805325031280518,0.0,242415
interval_score_ge4p0,cows,42,q12_keyframe,stage158_residual_recovery,24.803061292307227,24.676926781192712,-0.12613451111451468,24.676926781192712,0.0,0.20999354124069214,0.21666023135185242,0.006666690111160278,0.21666023135185242,0.0,215897
interval_score_ge4p0,kite-surf,3,stage158_residual_recovery,stage158_residual_recovery,32.96043007933307,32.83683208198743,-0.12359799734564092,32.83683208198743,0.0,0.08613267540931702,0.09065184742212296,0.004519172012805939,0.09065184742212296,0.0,230164
interval_score_ge4p0,car-roundabout,15,q12_keyframe,stage158_residual_recovery,27.62298031215495,27.5067066309244,-0.11627368123055248,27.5067066309244,0.0,0.12209617346525192,0.1407012939453125,0.018605120480060577,0.1407012939453125,0.0,221682
interval_score_ge4p0,car-roundabout,13,stage158_residual_recovery,stage158_residual_recovery,27.194442120107105,27.08021929605186,-0.11422282405524342,27.08021929605186,0.0,0.15300247073173523,0.15474946796894073,0.0017469972372055054,0.15474946796894073,0.0,236811
interval_score_ge4p0,drift-chicane,36,stage158_residual_recovery,stage158_residual_recovery,30.65555711439535,30.542493251275246,-0.11306386312010375,30.542493251275246,0.0,0.1673850268125534,0.2017708718776703,0.03438584506511688,0.2017708718776703,0.0,132477
interval_score_ge4p0,drift-chicane,33,stage158_residual_recovery,stage158_residual_recovery,30.352500619971114,30.255071167443226,-0.09742945252788715,30.255071167443226,0.0,0.18750056624412537,0.16652226448059082,-0.020978301763534546,0.16652226448059082,0.0,101615
interval_score_ge4p0,bike-packing,44,stage158_residual_recovery,stage158_residual_recovery,25.017629302616122,24.92020032474395,-0.0974289778721733,24.92020032474395,0.0,0.19847355782985687,0.20247384905815125,0.0040002912282943726,0.20247384905815125,0.0,232045
interval_score_ge4p0,dog,6,stage158_residual_recovery,stage158_residual_recovery,31.799026351312342,31.706097881423446,-0.09292846988889636,31.706097881423446,0.0,0.13363444805145264,0.13840502500534058,0.0047705769538879395,0.13840502500534058,0.0,231318
interval_score_ge4p0,car-roundabout,14,stage158_residual_recovery,stage158_residual_recovery,27.40988159011868,27.318179489767687,-0.09170210035099302,27.318179489767687,0.0,0.1440165489912033,0.14950695633888245,0.005490407347679138,0.14950695633888245,0.0,232002
interval_score_ge4p0,camel,23,q12_keyframe,stage158_residual_recovery,26.293544161510827,26.203757395223384,-0.08978676628744253,26.203757395223384,0.0,0.1698649674654007,0.18066224455833435,0.010797277092933655,0.18066224455833435,0.0,231343
interval_score_ge4p0,car-shadow,21,stage158_residual_recovery,stage158_residual_recovery,29.52534868814618,29.436981642693134,-0.08836704545304741,29.436981642693134,0.0,0.15282531082630157,0.1562408059835434,0.0034154951572418213,0.1562408059835434,0.0,235157
interval_score_ge4p0,goat,76,stage158_residual_recovery,stage158_residual_recovery,26.65936631225652,26.573796826479562,-0.08556948577695778,26.573796826479562,0.0,0.1774214804172516,0.1774667352437973,4.525482654571533e-05,0.1774667352437973,0.0,247938
interval_score_ge4p0,bike-packing,43,stage158_residual_recovery,stage158_residual_recovery,25.256113466174767,25.1795652147063,-0.07654825146846633,25.1795652147063,0.0,0.1925978809595108,0.19640682637691498,0.003808945417404175,0.19640682637691498,0.0,229043
interval_score_ge4p0,kite-surf,4,stage158_residual_recovery,stage158_residual_recovery,32.678997360749975,32.60292677972768,-0.07607058102229303,32.60292677972768,0.0,0.08926641196012497,0.08991323411464691,0.0006468221545219421,0.08991323411464691,0.0,231102
interval_score_ge4p0,camel,50,stage158_residual_recovery,stage158_residual_recovery,25.615773220641856,25.543112057122865,-0.07266116351899043,25.543112057122865,0.0,0.19114241003990173,0.19252417981624603,0.0013817697763442993,0.19252417981624603,0.0,232289
interval_score_ge4p0,goat,77,stage158_residual_recovery,stage158_residual_recovery,26.726398048165724,26.654368763998832,-0.07202928416689147,26.654368763998832,0.0,0.18264010548591614,0.1834017038345337,0.0007615983486175537,0.1834017038345337,0.0,248413
