task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00024728,dog,8,q12,5,0.625,image_residual_sideinfo_full_frame,4,34.569119252270596,0.9113197326660156,0.9889988303184509,0.13543449342250824,112824,0.10759735107421875,0.09762538675351436,0.2052227378277331,13.047816037245319,0.5505274832248688,0.36864203214645386,-0.32458581030368805
stage79_00024728,dog,8,q12,5,0.625,image_residual_sideinfo_full_frame,5,40.882208851277426,0.9765834212303162,0.9974191784858704,0.031508106738328934,214585,0.20464420318603516,0.09762538675351436,0.3022695899395495,19.36090563625215,0.6157911717891693,0.3770623803138733,-0.42851219698786736
stage79_00024728,dog,8,q12,5,0.625,image_residual_sideinfo_full_frame,6,47.038729703886055,0.9941692352294922,0.9993726015090942,0.005966615863144398,274441,0.26172733306884766,0.09762538675351436,0.359352719822362,25.517426488860778,0.6333769857883453,0.37901580333709717,-0.4540536878630519
stage79_00027942,libby,4,q12,18,0.5,original_streamsplat_base,0,19.99272051460834,0.3566756248474121,0.5189129114151001,0.43874070048332214,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00027942,libby,4,q12,18,0.5,image_residual_sideinfo_full_frame,3,24.91910167921299,0.5967466235160828,0.8701773881912231,0.411099374294281,62038,0.05916404724121094,0.18193822076791313,0.24110226800912407,4.926381164604649,0.24007099866867065,0.35126447677612305,-0.027641326189041138
stage79_00027942,libby,4,q12,18,0.5,image_residual_sideinfo_full_frame,4,32.20487175582301,0.8383169174194336,0.9729713201522827,0.17327675223350525,84835,0.08090496063232422,0.18193822076791313,0.2628431814002373,12.212151241214666,0.4816412925720215,0.4540584087371826,-0.2654639482498169
stage79_00027942,libby,4,q12,18,0.5,image_residual_sideinfo_full_frame,5,38.53459329371014,0.9518478512763977,0.9940358400344849,0.04712916165590286,167670,0.15990257263183594,0.18193822076791313,0.34184079339974904,18.541872779101798,0.5951722264289856,0.47512292861938477,-0.3916115388274193
stage79_00027942,libby,4,q12,18,0.5,image_residual_sideinfo_full_frame,6,44.684068225148565,0.9876299500465393,0.9985682964324951,0.010705730877816677,231472,0.2207489013671875,0.18193822076791313,0.4026871221351006,24.691347710540224,0.6309543251991272,0.479655385017395,-0.42803496960550547
stage79_00025050,dogs-jump,8,q12,10,0.25,original_streamsplat_base,0,24.67442190780495,0.7807900309562683,0.8886072635650635,0.2702594995498657,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00025050,dogs-jump,8,q12,10,0.25,image_residual_sideinfo_full_frame,3,25.66200565990464,0.8459480404853821,0.9598371982574463,0.2623473107814789,27078,0.025823593139648438,0.09762538675351436,0.1234489798931628,0.9875837520996917,0.06515800952911377,0.07122993469238281,-0.00791218876838684
stage79_00025050,dogs-jump,8,q12,10,0.25,image_residual_sideinfo_full_frame,4,35.49478114570189,0.9277709126472473,0.9867433905601501,0.15423685312271118,40302,0.03843498229980469,0.09762538675351436,0.13606036905331903,10.820359237896945,0.146980881690979,0.09813612699508667,-0.11602264642715454
stage79_00025050,dogs-jump,8,q12,10,0.25,image_residual_sideinfo_full_frame,5,38.34394106575053,0.9308493733406067,0.9890469312667847,0.12686769664287567,112875,0.10764598846435547,0.09762538675351436,0.2052713752178698,13.66951915794558,0.15005934238433838,0.10043966770172119,-0.14339180290699005
