point_type,role,setting_label,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,sideinfo_mib_per_intermediate_frame,psnr,delta_psnr_vs_base,task_count
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,4,amortized,0.20110417376829964,0.02555460400051541,21.36863127411855,1.3268989652746772,18
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,8,direct,0.12359730134605652,0.025971914592542146,19.89334851206736,1.1868012939470625,19
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,8,amortized,0.12035081202198876,0.025971914592542146,19.89334851206736,1.1868012939470625,19
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,16,direct,0.08122120316863576,0.025752233422320824,18.48654307969604,1.15831294025771,23
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,16,amortized,0.0796116885797407,0.025752233422320824,18.48654307969604,1.15831294025771,23
compressed_deterministic,anchor,q6_top10,linear,q12,4,direct,0.20731353399694413,0.025375313229031034,21.485247995546057,1.500451572693952,18
compressed_deterministic,anchor,q6_top10,linear,q12,4,amortized,0.20096970568968636,0.025375313229031034,21.485247995546057,1.500451572693952,18
compressed_deterministic,anchor,q6_top10,linear,q12,8,direct,0.12350901118171133,0.025883624428196958,19.737471361230757,1.2798815542244626,19
compressed_deterministic,anchor,q6_top10,linear,q12,8,amortized,0.12027355812818671,0.025883624428196958,19.737471361230757,1.2798815542244626,19
compressed_deterministic,anchor,q6_top10,linear,q12,16,direct,0.0810725129034778,0.025603543157162872,18.353056472459404,1.2688410362854485,23
compressed_deterministic,anchor,q6_top10,linear,q12,16,amortized,0.07947229145615513,0.025603543157162872,18.353056472459404,1.2688410362854485,23
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,4,direct,0.21223825518495953,0.030300034417046443,21.377635104768594,1.3359027959247187,18
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,4,amortized,0.20466324658069793,0.030300034417046443,21.377635104768594,1.3359027959247187,18
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,8,direct,0.12838640279612334,0.030761016042608964,19.897382863103463,1.1908356449831592,19
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,8,amortized,0.12454127579079721,0.030761016042608964,19.897382863103463,1.1908356449831592,19
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,16,direct,0.08599537972476687,0.030526409978451935,18.49225274554008,1.1640226061017487,23
compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,16,amortized,0.08408747910111361,0.030526409978451935,18.49225274554008,1.1640226061017487,23
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,4,direct,0.21042431365324843,0.028486092885335285,23.403532118481326,3.4187356956292225,18
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,4,amortized,0.2033027904319146,0.028486092885335285,23.403532118481326,3.4187356956292225,18
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,8,direct,0.12665608623246688,0.02903069947895251,21.51362735577916,3.05603754877287,19
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,8,amortized,0.1230272487975978,0.02903069947895251,21.51362735577916,3.05603754877287,19
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,16,direct,0.08430766643343285,0.028838696687117867,20.344147709407626,3.2599322732336695,23
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,linear,q12,16,amortized,0.08250524789048798,0.028838696687117867,20.344147709407626,3.2599322732336695,23
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,4,direct,0.21508592669374865,0.033147705925835505,22.841151135422116,2.7994188265782376,18
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,4,amortized,0.20679900021228975,0.033147705925835505,22.841151135422116,2.7994188265782376,18
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,8,direct,0.13149337333220473,0.033867986578690376,21.39901144086742,2.692464222747122,19
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,8,amortized,0.12725987500986843,0.033867986578690376,21.39901144086742,2.692464222747122,19
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,16,direct,0.08923517723400179,0.03376620748768682,20.292022340267458,2.9637922008291264,23
stage96_entropy_reference,entropy_reference,q6_top10_entropy_index_value,stage65_adapter,q12,16,amortized,0.08712478926602138,0.03376620748768682,20.292022340267458,2.9637922008291264,23
