sequence,frame_index,chosen_schedule,final_type,measurement_key,psnr,ssim,ms_ssim,lpips
dance-twirl,19,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00019:00018:00024,30.901809149957877,0.9122409820556641,0.9886876344680786,0.1430446207523346
dance-twirl,2,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00002,28.44194568774514,0.8305085301399231,0.9845760464668274,0.20555488765239716
dance-twirl,20,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00020,31.515612735851768,0.9230818152427673,0.9925069212913513,0.12596280872821808
dance-twirl,21,stage165_adaptive,q12_keyframe,keyframe::dance-twirl:00021,31.687846352669418,0.9275140762329102,0.9927694201469421,0.11953261494636536
dance-twirl,22,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00022,30.665882548137716,0.9076826572418213,0.9906666278839111,0.13186746835708618
dance-twirl,23,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00023:00016:00024,29.964518052716688,0.8962844014167786,0.9871757626533508,0.1539987474679947
dance-twirl,24,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00024,31.444629061169856,0.9231374263763428,0.9922917485237122,0.12822088599205017
dance-twirl,25,uniform_gap8,stage158_residual_recovery,residual::dance-twirl:00025:00024:00032,31.4742450451952,0.9169062972068787,0.9892618060112,0.14375944435596466
dance-twirl,26,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00026,31.458518308584583,0.91139817237854,0.9913278222084045,0.13359589874744415
dance-twirl,27,uniform_gap4,stage158_residual_recovery,residual::dance-twirl:00027:00024:00028,30.51974732542826,0.9038662910461426,0.9877548217773438,0.1671692579984665
dance-twirl,28,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00028,30.431395068800946,0.9127166271209717,0.9909160733222961,0.12286435067653656
dance-twirl,29,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00029:00024:00030,30.26358824494338,0.9029071927070618,0.9876078367233276,0.14617860317230225
dance-twirl,3,uniform_gap2,stage158_residual_recovery,residual::dance-twirl:00003:00002:00004,28.990010012337105,0.8412535190582275,0.9829897880554199,0.20006732642650604
dance-twirl,30,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00030,30.386394230034412,0.9147397875785828,0.9909060597419739,0.12224121391773224
dance-twirl,31,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00031:00016:00032,29.737927758824185,0.8974320888519287,0.9869203567504883,0.15388597548007965
dance-twirl,32,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00032,29.508065234250978,0.9017515182495117,0.9897319674491882,0.14630693197250366
dance-twirl,33,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00033:00032:00048,29.960566750881753,0.9036182761192322,0.9876170754432678,0.14931875467300415
dance-twirl,34,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00034,30.37289598268911,0.9082398414611816,0.9909602403640747,0.13743416965007782
dance-twirl,35,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00035:00030:00036,29.640712554857114,0.8847948908805847,0.9860453605651855,0.17963306605815887
